course_code,subject,course_number,course_name,credits,description,prerequisites,credit_restrictions,gen_ed,total_students,total_sections,overall_gpa,catalog_text,source_url,catalog_year
IB 100,IB,100,Biology in Today's World,3 Hours,"Introduction to biology for the non-major. In-depth focus on three contemporary problems-maintaining a livable environment, issues of human health, and evolution.",,,Nat Sci & Tech - Life Sciences,,,,"[IB 100 Biology in Today's World credit: 3 Hours.](<https://courses.illinois.edu/schedule/terms/IB/100>)

Introduction to biology for the non-major. In-depth focus on three contemporary problems-maintaining a livable environment, issues of human health, and evolution.
This course satisfies the General Education Criteria for:
Nat Sci & Tech - Life Sciences",https://catalog.illinois.edu/courses-of-instruction/ib/,2026–2027
IB 103,IB,103,Introduction to Plant Biology,4 Hours,"Basic principles of growth and form, physiology, genetics, evolution, and ecology in plant biology. Lecture and laboratory.",,,Nat Sci & Tech - Life Sciences,,,,"[IB 103 Introduction to Plant Biology credit: 4 Hours.](<https://courses.illinois.edu/schedule/terms/IB/103>)

Basic principles of growth and form, physiology, genetics, evolution, and ecology in plant biology. Lecture and laboratory.
This course satisfies the General Education Criteria for:
Nat Sci & Tech - Life Sciences",https://catalog.illinois.edu/courses-of-instruction/ib/,2026–2027
IB 104,IB,104,Animal Biology,4 Hours,"Introductory zoological concepts with emphasis on the diversity and comparative anatomy of animals and the fundamentals of physiology, genetics, evolution, and behavior. Lecture and laboratory.",,,Nat Sci & Tech - Life Sciences,,,,"[IB 104 Animal Biology credit: 4 Hours.](<https://courses.illinois.edu/schedule/terms/IB/104>)

Introductory zoological concepts with emphasis on the diversity and comparative anatomy of animals and the fundamentals of physiology, genetics, evolution, and behavior. Lecture and laboratory.
This course satisfies the General Education Criteria for:
Nat Sci & Tech - Life Sciences",https://catalog.illinois.edu/courses-of-instruction/ib/,2026–2027
IB 108,IB,108,The Biology of Dinosaurs,3 Hours,"The origin, diversity, and extinction of dinosaurs will serve as a conceptual framework to explore fundamental principles of biology. We will consider dinosaurs as animals, examining evidence for their physiology and behavior, and how evolution and speciation produced the diversity of dinosaurs. We will relate the influence of Earth's changing environments on dinosaurs to environmental change on human timescales. We will emphasize how scientists collect and evaluate fossil data through an understanding of living organisms.",,,Nat Sci & Tech - Life Sciences,,,,"[IB 108 The Biology of Dinosaurs credit: 3 Hours.](<https://courses.illinois.edu/schedule/terms/IB/108>)

The origin, diversity, and extinction of dinosaurs will serve as a conceptual framework to explore fundamental principles of biology. We will consider dinosaurs as animals, examining evidence for their physiology and behavior, and how evolution and speciation produced the diversity of dinosaurs. We will relate the influence of Earth's changing environments on dinosaurs to environmental change on human timescales. We will emphasize how scientists collect and evaluate fossil data through an understanding of living organisms.
This course satisfies the General Education Criteria for:
Nat Sci & Tech - Life Sciences",https://catalog.illinois.edu/courses-of-instruction/ib/,2026–2027
IB 110,IB,110,Race and Environmental Biology,3 Hours,"The environment each person experiences is created by cultural, biological, and political factors. We will explore how race and culture shape environment and the underlying biological processes that influence the people and organisms that occur in these environments. We will also explore how politics can further shape environments for various racial and ethnic groups.",,,"Nat Sci & Tech - Life Sciences
Cultural Studies - US Minority",,,,"[IB 110 Race and Environmental Biology credit: 3 Hours.](<https://courses.illinois.edu/schedule/terms/IB/110>)

The environment each person experiences is created by cultural, biological, and political factors. We will explore how race and culture shape environment and the underlying biological processes that influence the people and organisms that occur in these environments. We will also explore how politics can further shape environments for various racial and ethnic groups.
This course satisfies the General Education Criteria for:
Nat Sci & Tech - Life Sciences
Cultural Studies - US Minority",https://catalog.illinois.edu/courses-of-instruction/ib/,2026–2027
IB 150,IB,150,Organismal & Evolutionary Biol,4 Hours,"[IAI Code: L1910L and BIO910 with IB 151] Introduction to physiology, genetics, and evolution of organisms, and their ecology and diversity.",,,Nat Sci & Tech - Life Sciences,,,,"[IB 150 Organismal & Evolutionary Biol credit: 4 Hours.](<https://courses.illinois.edu/schedule/terms/IB/150>)

[IAI Code: L1910L and BIO910 with [IB 151](<https://catalog.illinois.edu/search/?P=IB%20151>)] Introduction to physiology, genetics, and evolution of organisms, and their ecology and diversity.
This course satisfies the General Education Criteria for:
Nat Sci & Tech - Life Sciences",https://catalog.illinois.edu/courses-of-instruction/ib/,2026–2027
IB 151,IB,151,Organismal & Evol Biol Lab,1 Hour,"[IAI Code: L1910L and BIO910 with IB 150] Topics follow lecture topics in IB 150 and include labs in ecology, plant and animal function, and genetics and evolution. Designed for non-majors needing a year of biology with lab. Credit is not given toward graduation for: Credit is not given for IB 151 for Integrative Biology or Molecular and Cellular Biology majors. Prerequisite: Credit or concurrent registration in IB 150.",Prerequisite: Credit or concurrent registration in IB 150.,Credit is not given toward graduation for: Credit is not given for IB 151 for Integrative Biology or Molecular and Cellular Biology majors.,,,,,"[IB 151 Organismal & Evol Biol Lab credit: 1 Hour.](<https://courses.illinois.edu/schedule/terms/IB/151>)

[IAI Code: L1910L and BIO910 with [IB 150](<https://catalog.illinois.edu/search/?P=IB%20150>)] Topics follow lecture topics in [IB 150](<https://catalog.illinois.edu/search/?P=IB%20150>) and include labs in ecology, plant and animal function, and genetics and evolution. Designed for non-majors needing a year of biology with lab. Credit is not given toward graduation for: Credit is not given for [IB 151](<https://catalog.illinois.edu/search/?P=IB%20151>) for Integrative Biology or Molecular and Cellular Biology majors. Prerequisite: Credit or concurrent registration in [IB 150](<https://catalog.illinois.edu/search/?P=IB%20150>).",https://catalog.illinois.edu/courses-of-instruction/ib/,2026–2027
IB 199,IB,199,Undergraduate Open Seminar,0 to 5 Hours,Approved for both letter and S/U grading. May be repeated to a maximum of 5 hours.,,,,,,,"[IB 199 Undergraduate Open Seminar credit: 0 to 5 Hours.](<https://courses.illinois.edu/schedule/terms/IB/199>)

Approved for both letter and S/U grading. May be repeated to a maximum of 5 hours.",https://catalog.illinois.edu/courses-of-instruction/ib/,2026–2027
IB 201,IB,201,Organismal Genetics,3 Hours,"Genetics is one of the unifying frameworks shared by the life sciences, social sciences, and medicine. This course introduces general principles of heredity in the context of complex organisms from plants to animals and humans. Special attention will be paid to topics at the intersection of genetics, medicine, and society, such as the intersection between genetics and issues such as racism, sexism, and economic inequality. Material featured on the MCAT exam will also receive emphasis. Prerequisite: IB majors are required to take IB 204 Genetics.",Prerequisite: IB majors are required to take IB 204 Genetics.,,,,,,"[IB 201 Organismal Genetics credit: 3 Hours.](<https://courses.illinois.edu/schedule/terms/IB/201>)

Genetics is one of the unifying frameworks shared by the life sciences, social sciences, and medicine. This course introduces general principles of heredity in the context of complex organisms from plants to animals and humans. Special attention will be paid to topics at the intersection of genetics, medicine, and society, such as the intersection between genetics and issues such as racism, sexism, and economic inequality. Material featured on the MCAT exam will also receive emphasis. Prerequisite: IB majors are required to take [IB 204](<https://catalog.illinois.edu/search/?P=IB%20204>) Genetics.",https://catalog.illinois.edu/courses-of-instruction/ib/,2026–2027
IB 202,IB,202,Physiology,3 or 4 Hours,"How animals function in acquiring, processing, and allocating resources in the face of environmental constraints. The inquiry-based laboratory emphasizes testing of hypotheses related to functioning of physiological components of the basic systems of animals. Lecture only, 3 hours; with laboratory, 4 hours. Students must complete the laboratory portion of the course to receive 4 hours of credit. The laboratory includes vertebrate dissection. Prerequisite: IB 150 and MCB 150.",Prerequisite: IB 150 and MCB 150.,,,,,,"[IB 202 Physiology credit: 3 or 4 Hours.](<https://courses.illinois.edu/schedule/terms/IB/202>)

How animals function in acquiring, processing, and allocating resources in the face of environmental constraints. The inquiry-based laboratory emphasizes testing of hypotheses related to functioning of physiological components of the basic systems of animals. Lecture only, 3 hours; with laboratory, 4 hours. Students must complete the laboratory portion of the course to receive 4 hours of credit. The laboratory includes vertebrate dissection. Prerequisite: [IB 150](<https://catalog.illinois.edu/search/?P=IB%20150>) and [MCB 150](<https://catalog.illinois.edu/search/?P=MCB%20150>).",https://catalog.illinois.edu/courses-of-instruction/ib/,2026–2027
