course_code,subject,course_number,course_name,credits,description,prerequisites,credit_restrictions,gen_ed,total_students,total_sections,overall_gpa
ASTR 100,ASTR,100,Introduction to Astronomy,3 Hours,"[IAI Code: P1906] Introduces the student to the basic concepts of modern astronomy. Covers topics including the night sky; the solar system and its origin; the nature and evolution of stars; stellar remnants, including white dwarfs, neutron stars, and black holes; extrasolar planetary systems; galaxies and quasars; dark matter and dark energy; the Big Bang and the fate of the universe; and life in the universe. Students with credit in PHYS 211 are encouraged to take ASTR 210. Credit is not given toward graduation for: Credit is not given for ASTR 100 if credit in any of ASTR 121, ASTR 122, ASTR 210, or equivalent has been earned.",,"Credit is not given toward graduation for: Credit is not given for ASTR 100 if credit in any of ASTR 121, ASTR 122, ASTR 210, or equivalent has been earned.",Nat Sci & Tech - Phys Sciences,,,
ASTR 121,ASTR,121,Solar System and Worlds Beyond,3 Hours,"[IAI Code: P1906] Introductory survey of the Solar System; structure and motions of the Earth and Moon; planetary motions; natures and characteristics of the planets and smaller solar system bodies; planetary moons and rings; meteors, meteoroids, and meteorites; properties of the Sun; origin and evolution of the Solar System; discovery of extrasolar planetary systems; architecture of extrasolar planetary systems and comparison to our solar system; habitable extrasolar planets. Emphasis will be placed on problem-solving and scientific methods. Students with credit in PHYS 211 are encouraged to take ASTR 210. Credit is not given toward graduation for: Credit is not given for ASTR 121 if credit in either ASTR 100 or ASTR 210 has been earned.",,Credit is not given toward graduation for: Credit is not given for ASTR 121 if credit in either ASTR 100 or ASTR 210 has been earned.,"Nat Sci & Tech - Phys Sciences
Quantitative Reasoning II",,,
ASTR 122,ASTR,122,Stars and Galaxies,3 Hours,"Introduction to celestial objects and phenomena beyond the Solar System, and their governing basic physical principles; galaxies, quasars, and structure of the universe; dark matter and dark energy; the Big Bang and the fate of the universe; the Milky Way; the interstellar medium and the birth of stars; stellar distances, motions, radiation, structure, evolution, and remnants, including neutron stars and black holes. Emphasis will be placed on problem-solving and scientific methods. Credit is not given for ASTR 122 if credit in either ASTR 100 or ASTR 210 has been earned. Students with credit in PHYS 211 are encouraged to take ASTR 210.",,Credit is not given for ASTR 122 if credit in either ASTR 100 or ASTR 210 has been earned.,"Nat Sci & Tech - Phys Sciences
Quantitative Reasoning II",,,
ASTR 150,ASTR,150,Killer Skies: Astro-Disasters,3 Hours,"Exploration of astronomical phenomena that have the potential to destroy our civilization, life on Earth, or even the entire planet, including asteroid impacts, solar storms, nearby supernovas, and rogue black holes. Emphasis is placed on understanding the nature of each phenomenon, assessing the potential risk(s) to our civilization, and describing mitigation strategies.",,,Nat Sci & Tech - Phys Sciences,,,
ASTR 199,ASTR,199,Undergraduate Open Seminar,0 to 5 Hours,"See course schedule for topics. Approved for Letter and S/U grading. May be repeated in the same term up to 5 hours or separate terms up to 8 hours, if topics vary.",,,,,,
ASTR 200,ASTR,200,Smartphone Astronomy,3 Hours,"Smartphone Astronomy turns your smartphone into a scientific tool for exploring the sky. Using the device in your pocket, you will measure Earth’s radius, search for cosmic rays, compare the apparent sizes of the Moon and Sun, track lunar phases, and observe Earth’s rotation and orbit. This course emphasizes hands-on observation, problem-solving, and the scientific method. Students must have access to a smartphone with a functioning camera; outdoor nighttime photography is required.",,,"Nat Sci & Tech - Phys Sciences
Quantitative Reasoning II",,,
ASTR 210,ASTR,210,Introduction to Astrophysics,3 Hours,"Survey of modern astronomy for students with background in physics. Topics include: the solar system; nature and evolution of stars; white dwarfs, neutron stars, and black holes; galaxies, quasars and dark matter; large scale structure of the universe; the Big Bang; and Inflation. Emphasis will be on the physical principles underlying the astronomical phenomena. Prerequisite: PHYS 211.",Prerequisite: PHYS 211.,,,,,
ASTR 310,ASTR,310,Computing in Astronomy,3 Hours,"An introduction to the use of computers in astrophysics research. Topics covered include a basic introduction to computing hardware concepts, Unix shell commands, programming in Python, data structures, astronomical libraries, modern software engineering concepts and tools, plotting and visualization of data, and fundamental numerical algorithms. Applications and examples drawn from astrophysics are stressed throughout. Prerequisite: PHYS 211; MATH 220; Credit or concurrent registration in ASTR 210.",Prerequisite: PHYS 211; MATH 220; Credit or concurrent registration in ASTR 210.,,,,,
ASTR 330,ASTR,330,Extraterrestrial Life,3 Hours,"Scientific discussion of the search for extraterrestrial life. Topics include: cosmic evolution (protons to heavy elements to molecules); terrestrial evolution (chemical, biological, and cultural); high technology searches for extraterrestrial life in the solar system (Mars, Venus, outer planets); and beyond the solar system (Drake equation and current SETI projects).",,,,,,
ASTR 350,ASTR,350,"The Big Bang, Black Holes, and the End of the Universe",3 Hours,"Studies the origin, evolution, and eventual fate of the universe, and the scientific tools used to study these issues. Topics include aspects of special and general relativity; curved spacetime; the Big Bang; inflation; primordial element synthesis; the cosmic microwave background; dark matter and the formation of galaxies; observational evidence for dark matter, dark energy, and black holes. Credit is not given for ASTR 350 if credit in ASTR 406 has been earned. Prerequisite: ASTR 100, or ASTR 121, or ASTR 122, or ASTR 210, or consent of instructor.","Prerequisite: ASTR 100, or ASTR 121, or ASTR 122, or ASTR 210, or consent of instructor.",Credit is not given for ASTR 350 if credit in ASTR 406 has been earned.,,,,
