course_code,subject,course_number,course_name,credits,description,prerequisites,credit_restrictions,gen_ed,total_students,total_sections,overall_gpa,catalog_text,source_url,catalog_year
CHBE 101,CHBE,101,Hidden World of Engineering,3 Hours,"Tells the stories of everyday objects: bathtubs, pop cans and screws. These simple objects shape our lives, yet are engineering masterpieces. To unveil this hidden world the course uses a humanistic approach. Designed to appeal to all majors, it uses human stories - filled with failures and triumphs - to reveal the methods of engineers. The course enchants with tales of ancient steel making, today's pop cans, huge stone monuments, and salt. The course will change how a student looks at his or her world. Several sessions focus on women engineers and the environment.",,,Nat Sci & Tech - Phys Sciences,,,,"[CHBE 101 Hidden World of Engineering credit: 3 Hours.](<https://courses.illinois.edu/schedule/terms/CHBE/101>)

Tells the stories of everyday objects: bathtubs, pop cans and screws. These simple objects shape our lives, yet are engineering masterpieces. To unveil this hidden world the course uses a humanistic approach. Designed to appeal to all majors, it uses human stories - filled with failures and triumphs - to reveal the methods of engineers. The course enchants with tales of ancient steel making, today's pop cans, huge stone monuments, and salt. The course will change how a student looks at his or her world. Several sessions focus on women engineers and the environment.
This course satisfies the General Education Criteria for:
Nat Sci & Tech - Phys Sciences",https://catalog.illinois.edu/courses-of-instruction/chbe/,2026–2027
CHBE 121,CHBE,121,CHBE Profession,1 Hour,Lectures and problems on the history and scope of chemical engineering endeavors; decisions and criteria for process development and plant design. Approved for S/U grading only. Prerequisite: CHEM 102 or CHEM 202.,Prerequisite: CHEM 102 or CHEM 202.,,,,,,"[CHBE 121 CHBE Profession credit: 1 Hour.](<https://courses.illinois.edu/schedule/terms/CHBE/121>)

Lectures and problems on the history and scope of chemical engineering endeavors; decisions and criteria for process development and plant design. Approved for S/U grading only. Prerequisite: [CHEM 102](<https://catalog.illinois.edu/search/?P=CHEM%20102>) or [CHEM 202](<https://catalog.illinois.edu/search/?P=CHEM%20202>).",https://catalog.illinois.edu/courses-of-instruction/chbe/,2026–2027
CHBE 199,CHBE,199,Undergraduate Open Seminar,1 to 5 Hours,Approved for letter and S/U grading. May be repeated.,,,,,,,"[CHBE 199 Undergraduate Open Seminar credit: 1 to 5 Hours.](<https://courses.illinois.edu/schedule/terms/CHBE/199>)

Approved for letter and S/U grading. May be repeated.",https://catalog.illinois.edu/courses-of-instruction/chbe/,2026–2027
CHBE 202,CHBE,202,Cooperative Education Practice,0 Hours,Same as CHEM 293. See CHEM 293.,,,,,,,"[CHBE 202 Cooperative Education Practice credit: 0 Hours.](<https://courses.illinois.edu/schedule/terms/CHBE/202>)

Same as [CHEM 293](<https://catalog.illinois.edu/search/?P=CHEM%20293>). See [CHEM 293](<https://catalog.illinois.edu/search/?P=CHEM%20293>).",https://catalog.illinois.edu/courses-of-instruction/chbe/,2026–2027
CHBE 210,CHBE,210,CHBE Internship,0 Hours,"Full-time practice of chemical science in an off-campus industrial setting or research laboratory environment. Summary report required. Approved for S/U grading. May be repeated. Prerequisite: Completion of freshman year or equivalent, or consent of Director of Cooperative Education in Chemical and Biomolecular Engineering.","Prerequisite: Completion of freshman year or equivalent, or consent of Director of Cooperative Education in Chemical and Biomolecular Engineering.",,,,,,"[CHBE 210 CHBE Internship credit: 0 Hours.](<https://courses.illinois.edu/schedule/terms/CHBE/210>)

Full-time practice of chemical science in an off-campus industrial setting or research laboratory environment. Summary report required. Approved for S/U grading. May be repeated. Prerequisite: Completion of freshman year or equivalent, or consent of Director of Cooperative Education in Chemical and Biomolecular Engineering.",https://catalog.illinois.edu/courses-of-instruction/chbe/,2026–2027
CHBE 221,CHBE,221,Principles of CHE,3 Hours,Lectures and problems on material and energy balances. Prerequisite: CHEM 104 or CHEM 204; credit or concurrent registration in CS 101.,Prerequisite: CHEM 104 or CHEM 204; credit or concurrent registration in CS 101.,,,,,,"[CHBE 221 Principles of CHE credit: 3 Hours.](<https://courses.illinois.edu/schedule/terms/CHBE/221>)

Lectures and problems on material and energy balances. Prerequisite: [CHEM 104](<https://catalog.illinois.edu/search/?P=CHEM%20104>) or [CHEM 204](<https://catalog.illinois.edu/search/?P=CHEM%20204>); credit or concurrent registration in [CS 101](<https://catalog.illinois.edu/search/?P=CS%20101>).",https://catalog.illinois.edu/courses-of-instruction/chbe/,2026–2027
CHBE 297,CHBE,297,Individual Study Sophomores,1 to 3 Hours,Individual study of problems related to Chemical and Biomolecular Engineering. May be repeated to a maximum of 6 hours. Prerequisite: Sophomore standing and consent of instructor.,Prerequisite: Sophomore standing and consent of instructor.,,,,,,"[CHBE 297 Individual Study Sophomores credit: 1 to 3 Hours.](<https://courses.illinois.edu/schedule/terms/CHBE/297>)

Individual study of problems related to Chemical and Biomolecular Engineering. May be repeated to a maximum of 6 hours. Prerequisite: Sophomore standing and consent of instructor.",https://catalog.illinois.edu/courses-of-instruction/chbe/,2026–2027
CHBE 321,CHBE,321,Thermodynamics,4 Hours,Fundamental concepts and the laws of thermodynamics; the first and second law applications to phase equilibrium and chemical equilibrium and other applications in the Chemical and Biomolecular Engineering profession. Credit is not given toward graduation for CHBE 321 and either ABE 340 or ME 200. Prerequisite: CHBE 221 and MATH 241.,Prerequisite: CHBE 221 and MATH 241.,Credit is not given toward graduation for CHBE 321 and either ABE 340 or ME 200.,,,,,"[CHBE 321 Thermodynamics credit: 4 Hours.](<https://courses.illinois.edu/schedule/terms/CHBE/321>)

Fundamental concepts and the laws of thermodynamics; the first and second law applications to phase equilibrium and chemical equilibrium and other applications in the Chemical and Biomolecular Engineering profession. Credit is not given toward graduation for [CHBE 321](<https://catalog.illinois.edu/search/?P=CHBE%20321>) and either [ABE 340](<https://catalog.illinois.edu/search/?P=ABE%20340>) or [ME 200](<https://catalog.illinois.edu/search/?P=ME%20200>). Prerequisite: [CHBE 221](<https://catalog.illinois.edu/search/?P=CHBE%20221>) and [MATH 241](<https://catalog.illinois.edu/search/?P=MATH%20241>).",https://catalog.illinois.edu/courses-of-instruction/chbe/,2026–2027
CHBE 397,CHBE,397,Individual Study for Juniors,1 to 3 Hours,Individual study of problems related to Chemical and Biomolecular Engineering. May be repeated to a maximum of 6 hours. Prerequisite: Junior standing and consent of instructor.,Prerequisite: Junior standing and consent of instructor.,,,,,,"[CHBE 397 Individual Study for Juniors credit: 1 to 3 Hours.](<https://courses.illinois.edu/schedule/terms/CHBE/397>)

Individual study of problems related to Chemical and Biomolecular Engineering. May be repeated to a maximum of 6 hours. Prerequisite: Junior standing and consent of instructor.",https://catalog.illinois.edu/courses-of-instruction/chbe/,2026–2027
CHBE 411,CHBE,411,Probability and Statistics for ChBE,"3 Hours
3 undergraduate hours. No graduate credit.","Introduction to the foundations of probability and statistics with applications from chemistry, chemical engineering, and biomolecular engineering. Topics include axioms, Bayes’ rule, counting techniques, common distributions, expectation values, confidence intervals, hypothesis testing, regression techniques, analysis of variance, error propagation, likelihood maximization, design of experiments, and an introduction to Bayesian statistics. 3 undergraduate hours. No graduate credit. Credit is not given toward graduation for CHBE 411 and IE 300, STAT 107 or STAT 400. Prerequisite: MATH 231.",Prerequisite: MATH 231.,"No graduate credit.

Credit is not given toward graduation for CHBE 411 and IE 300, STAT 107 or STAT 400.",,,,,"[CHBE 411 Probability and Statistics for ChBE credit: 3 Hours.](<https://courses.illinois.edu/schedule/terms/CHBE/411>)

Introduction to the foundations of probability and statistics with applications from chemistry, chemical engineering, and biomolecular engineering. Topics include axioms, Bayes’ rule, counting techniques, common distributions, expectation values, confidence intervals, hypothesis testing, regression techniques, analysis of variance, error propagation, likelihood maximization, design of experiments, and an introduction to Bayesian statistics. 3 undergraduate hours. No graduate credit. Credit is not given toward graduation for [CHBE 411](<https://catalog.illinois.edu/search/?P=CHBE%20411>) and [IE 300](<https://catalog.illinois.edu/search/?P=IE%20300>), [STAT 107](<https://catalog.illinois.edu/search/?P=STAT%20107>) or [STAT 400](<https://catalog.illinois.edu/search/?P=STAT%20400>). Prerequisite: [MATH 231](<https://catalog.illinois.edu/search/?P=MATH%20231>).",https://catalog.illinois.edu/courses-of-instruction/chbe/,2026–2027
