course_code,subject,course_number,course_name,credits,description,prerequisites,credit_restrictions,gen_ed,total_students,total_sections,overall_gpa,catalog_text,source_url,catalog_year
ASRM 101,ASRM,101,Introduction to Actuarial Science,1 Hour,"Introduction to actuarial science as a profession and as a field of study. Students will learn about the skills and qualities of professional actuaries, the process to become a credentialed actuary, and the various career paths for actuaries. The course will focus on what students can do during their time at the University to be as well prepared as possible to become a successful actuary after graduation Approved for Letter and S/U grading. Prerequisite: For freshman or new transfer students only.",Prerequisite: For freshman or new transfer students only.,,,,,,"[ASRM 101 Introduction to Actuarial Science credit: 1 Hour.](<https://courses.illinois.edu/schedule/terms/ASRM/101>)

Introduction to actuarial science as a profession and as a field of study. Students will learn about the skills and qualities of professional actuaries, the process to become a credentialed actuary, and the various career paths for actuaries. The course will focus on what students can do during their time at the University to be as well prepared as possible to become a successful actuary after graduation Approved for Letter and S/U grading. Prerequisite: For freshman or new transfer students only.",https://catalog.illinois.edu/courses-of-instruction/asrm/,2026–2027
ASRM 195,ASRM,195,Foundations of Data Management,3 Hours,"An introduction to basic data management concepts and programming skills necessary for analyzing data in actuarial and financial applications. Students are expected to learn how to store, clean, explore and analyze data using a programming language and statistical software. Prerequisite: For actuarial science majors only. For freshman only.",Prerequisite: For actuarial science majors only.,,,,,,"[ASRM 195 Foundations of Data Management credit: 3 Hours.](<https://courses.illinois.edu/schedule/terms/ASRM/195>)

An introduction to basic data management concepts and programming skills necessary for analyzing data in actuarial and financial applications. Students are expected to learn how to store, clean, explore and analyze data using a programming language and statistical software. Prerequisite: For actuarial science majors only. For freshman only.",https://catalog.illinois.edu/courses-of-instruction/asrm/,2026–2027
ASRM 199,ASRM,199,Undergraduate Open Seminar,1 to 5 Hours,Covers special topics. Approved for Letter and S/U grading. May be repeated in the same term up to 12 hours or separate terms up to 12 hours.,,,,,,,"[ASRM 199 Undergraduate Open Seminar credit: 1 to 5 Hours.](<https://courses.illinois.edu/schedule/terms/ASRM/199>)

Covers special topics. Approved for Letter and S/U grading. May be repeated in the same term up to 12 hours or separate terms up to 12 hours.",https://catalog.illinois.edu/courses-of-instruction/asrm/,2026–2027
ASRM 210,ASRM,210,Theory of Interest,3 Hours,Study of compound interest and annuities; applications to problems in finance. Prerequisite: MATH 231 or equivalent.,Prerequisite: MATH 231 or equivalent.,,,,,,"[ASRM 210 Theory of Interest credit: 3 Hours.](<https://courses.illinois.edu/schedule/terms/ASRM/210>)

Study of compound interest and annuities; applications to problems in finance. Prerequisite: [MATH 231](<https://catalog.illinois.edu/search/?P=MATH%20231>) or equivalent.",https://catalog.illinois.edu/courses-of-instruction/asrm/,2026–2027
ASRM 390,ASRM,390,Introduction to Actuarial Research,0 to 3 Hours,Guided research on introductory actuarial topics. Approved for Letter and S/U grading. May be repeated in separate terms. Prerequisite: Instructor approval required.,Prerequisite: Instructor approval required.,,,,,,"[ASRM 390 Introduction to Actuarial Research credit: 0 to 3 Hours.](<https://courses.illinois.edu/schedule/terms/ASRM/390>)

Guided research on introductory actuarial topics. Approved for Letter and S/U grading. May be repeated in separate terms. Prerequisite: Instructor approval required.",https://catalog.illinois.edu/courses-of-instruction/asrm/,2026–2027
ASRM 392,ASRM,392,Actuarial Problem Solving,1 Hour,Methods and techniques of solving problems in actuarial mathematics for advanced students intending to enter the actuarial profession. Approved for S/U grading only. May be repeated in the same or separate terms to a maximum of 4 hours. Prerequisite: Consent of instructor.,Prerequisite: Consent of instructor.,,,,,,"[ASRM 392 Actuarial Problem Solving credit: 1 Hour.](<https://courses.illinois.edu/schedule/terms/ASRM/392>)

Methods and techniques of solving problems in actuarial mathematics for advanced students intending to enter the actuarial profession. Approved for S/U grading only. May be repeated in the same or separate terms to a maximum of 4 hours. Prerequisite: Consent of instructor.",https://catalog.illinois.edu/courses-of-instruction/asrm/,2026–2027
ASRM 398,ASRM,398,Actuarial Internship,0 Hours,"Full-time or part-time practice of actuarial science in an off-campus government, industrial, or research laboratory environment. Summary report required. Approved for S/U grading only. May be repeated in separate terms. Prerequisite: After obtaining an internship, Actuarial Science students must request entry from the Director of the Actuarial Science Program.","Prerequisite: After obtaining an internship, Actuarial Science students must request entry from the Director of the Actuarial Science Program.",,,,,,"[ASRM 398 Actuarial Internship credit: 0 Hours.](<https://courses.illinois.edu/schedule/terms/ASRM/398>)

Full-time or part-time practice of actuarial science in an off-campus government, industrial, or research laboratory environment. Summary report required. Approved for S/U grading only. May be repeated in separate terms. Prerequisite: After obtaining an internship, Actuarial Science students must request entry from the Director of the Actuarial Science Program.",https://catalog.illinois.edu/courses-of-instruction/asrm/,2026–2027
ASRM 401,ASRM,401,Actuarial Statistics I,"4 Hours
4 undergraduate hours. 4 graduate hours.","Examines elementary theory of probability, including independence, conditional probability, and Bayes' theorem; combinations and permutations; random variables, expectations, and probability distributions; joint and conditional distributions; functions of random variables; sampling; central limit theorem. Same as STAT 408. 4 undergraduate hours. 4 graduate hours. Credit is not given toward graduation for: ASRM 401 and either MATH 461 or STAT 400. Prerequisite: MATH 241 or equivalent.",Prerequisite: MATH 241 or equivalent.,Credit is not given toward graduation for: ASRM 401 and either MATH 461 or STAT 400.,,,,,"[ASRM 401 Actuarial Statistics I credit: 4 Hours.](<https://courses.illinois.edu/schedule/terms/ASRM/401>)

Examines elementary theory of probability, including independence, conditional probability, and Bayes' theorem; combinations and permutations; random variables, expectations, and probability distributions; joint and conditional distributions; functions of random variables; sampling; central limit theorem. Same as [STAT 408](<https://catalog.illinois.edu/search/?P=STAT%20408>). 4 undergraduate hours. 4 graduate hours. Credit is not given toward graduation for: [ASRM 401](<https://catalog.illinois.edu/search/?P=ASRM%20401>) and either [MATH 461](<https://catalog.illinois.edu/search/?P=MATH%20461>) or [STAT 400](<https://catalog.illinois.edu/search/?P=STAT%20400>). Prerequisite: [MATH 241](<https://catalog.illinois.edu/search/?P=MATH%20241>) or equivalent.",https://catalog.illinois.edu/courses-of-instruction/asrm/,2026–2027
ASRM 402,ASRM,402,Actuarial Statistics II,"4 Hours
4 undergraduate hours. 4 graduate hours.","Continuation of ASRM 401. Examines parametric point and interval estimation, including maximum likelihood estimation, sufficiency, completeness, and Bayesian estimation; hypothesis testing; linear models; regression and correlation. 4 undergraduate hours. 4 graduate hours. Credit is not given toward graduation for: Both ASRM 402 and STAT 410. Prerequisite: ASRM 401.",Prerequisite: ASRM 401.,Credit is not given toward graduation for: Both ASRM 402 and STAT 410.,,,,,"[ASRM 402 Actuarial Statistics II credit: 4 Hours.](<https://courses.illinois.edu/schedule/terms/ASRM/402>)

Continuation of [ASRM 401](<https://catalog.illinois.edu/search/?P=ASRM%20401>). Examines parametric point and interval estimation, including maximum likelihood estimation, sufficiency, completeness, and Bayesian estimation; hypothesis testing; linear models; regression and correlation. 4 undergraduate hours. 4 graduate hours. Credit is not given toward graduation for: Both [ASRM 402](<https://catalog.illinois.edu/search/?P=ASRM%20402>) and [STAT 410](<https://catalog.illinois.edu/search/?P=STAT%20410>). Prerequisite: [ASRM 401](<https://catalog.illinois.edu/search/?P=ASRM%20401>).",https://catalog.illinois.edu/courses-of-instruction/asrm/,2026–2027
ASRM 406,ASRM,406,Linear Algebra with Financial Applications,"3 or 4 Hours
3 or 4 undergraduate hours. 3 or 4 graduate hours.","Emphasizes techniques of linear algebra and introductory and advanced applications to actuarial science, finance and economics. Topics include linear equations, matrix theory, vector spaces, linear transformations, eigenvalues and eigenvectors and inner product spaces. In addition, current research topics such as modeling, data mining, and generalized linear models are explored. 4 hours of credit requires approval of the instructor and department with completion of additional work of substance. 3 or 4 undergraduate hours. 3 or 4 graduate hours. Credit is not given toward graduation for: Credit is not given for both ASRM 406 and any of MATH 125, MATH 225, MATH 415 or MATH 416. Prerequisite: MATH 241; ASRM 210 or FIN 221; or consent of instructor.",Prerequisite: MATH 241; ASRM 210 or FIN 221; or consent of instructor.,"Credit is not given toward graduation for: Credit is not given for both ASRM 406 and any of MATH 125, MATH 225, MATH 415 or MATH 416.",,,,,"[ASRM 406 Linear Algebra with Financial Applications credit: 3 or 4 Hours.](<https://courses.illinois.edu/schedule/terms/ASRM/406>)

Emphasizes techniques of linear algebra and introductory and advanced applications to actuarial science, finance and economics. Topics include linear equations, matrix theory, vector spaces, linear transformations, eigenvalues and eigenvectors and inner product spaces. In addition, current research topics such as modeling, data mining, and generalized linear models are explored. 4 hours of credit requires approval of the instructor and department with completion of additional work of substance. 3 or 4 undergraduate hours. 3 or 4 graduate hours. Credit is not given toward graduation for: Credit is not given for both [ASRM 406](<https://catalog.illinois.edu/search/?P=ASRM%20406>) and any of MATH 125, [MATH 225](<https://catalog.illinois.edu/search/?P=MATH%20225>), [MATH 415](<https://catalog.illinois.edu/search/?P=MATH%20415>) or [MATH 416](<https://catalog.illinois.edu/search/?P=MATH%20416>). Prerequisite: [MATH 241](<https://catalog.illinois.edu/search/?P=MATH%20241>); [ASRM 210](<https://catalog.illinois.edu/search/?P=ASRM%20210>) or [FIN 221](<https://catalog.illinois.edu/search/?P=FIN%20221>); or consent of instructor.",https://catalog.illinois.edu/courses-of-instruction/asrm/,2026–2027
ASRM 409,ASRM,409,Stochastic Processes for Finance and Insurance,"3 or 4 Hours
3 or 4 undergraduate hours. 3 or 4 graduate hours.","An introduction to stochastic processes and their applications to finance and insurance. Topics include conditional probability, conditional expectation, Markov chains, Poisson processes, reliability theory, Brownian motion and elementary introductions to insurance risk theory and option pricing theory. 3 or 4 undergraduate hours. 3 or 4 graduate hours. Prerequisite: ASRM 401 or MATH 461.",Prerequisite: ASRM 401 or MATH 461.,,,,,,"[ASRM 409 Stochastic Processes for Finance and Insurance credit: 3 or 4 Hours.](<https://courses.illinois.edu/schedule/terms/ASRM/409>)

An introduction to stochastic processes and their applications to finance and insurance. Topics include conditional probability, conditional expectation, Markov chains, Poisson processes, reliability theory, Brownian motion and elementary introductions to insurance risk theory and option pricing theory. 3 or 4 undergraduate hours. 3 or 4 graduate hours. Prerequisite: [ASRM 401](<https://catalog.illinois.edu/search/?P=ASRM%20401>) or [MATH 461](<https://catalog.illinois.edu/search/?P=MATH%20461>).",https://catalog.illinois.edu/courses-of-instruction/asrm/,2026–2027
ASRM 410,ASRM,410,Investments and Financial Markets,"3 or 4 Hours
3 undergraduate hours. 4 graduate hours.","An introduction to financial models and their applications to investment and financial markets. Topics include derivative markets, derivatives pricing, interest rate models, dynamic hedging and other risk management techniques. 3 undergraduate hours. 4 graduate hours. Prerequisite: Credit or concurrent registration in ASRM 402 or STAT 410.",Prerequisite: Credit or concurrent registration in ASRM 402 or STAT 410.,,,,,,"[ASRM 410 Investments and Financial Markets credit: 3 or 4 Hours.](<https://courses.illinois.edu/schedule/terms/ASRM/410>)

An introduction to financial models and their applications to investment and financial markets. Topics include derivative markets, derivatives pricing, interest rate models, dynamic hedging and other risk management techniques. 3 undergraduate hours. 4 graduate hours. Prerequisite: Credit or concurrent registration in [ASRM 402](<https://catalog.illinois.edu/search/?P=ASRM%20402>) or [STAT 410](<https://catalog.illinois.edu/search/?P=STAT%20410>).",https://catalog.illinois.edu/courses-of-instruction/asrm/,2026–2027
