course_code,subject,course_number,course_name,credits,description,prerequisites,credit_restrictions,gen_ed,total_students,total_sections,overall_gpa
MCB 100,MCB,100,Introductory Microbiology,3 Hours,"[IAI Code: L1903] Introduction to the principal activities and properties of microorganisms, including bacteria, yeasts, molds, and viruses; consideration of the role of natural processes, such as photosynthesis; and man's use and control of microorganisms in the production of antibodies and vaccines in industrial fermentations, in sanitation and public health, and in agriculture. Credit is not given toward graduation for: Credit is not given for both MCB 100 and MCB 300. Prerequisite: There are no prerequisites for MCB 100, but some chemistry is recommended.","Prerequisite: There are no prerequisites for MCB 100, but some chemistry is recommended.",Credit is not given toward graduation for: Credit is not given for both MCB 100 and MCB 300.,Nat Sci & Tech - Life Sciences,,,3.32
MCB 101,MCB,101,Intro Microbiology Laboratory,2 Hours,"Laboratory introduction to the techniques employed in the investigation of microbial activities and properties; experiments designed to familiarize the student with the handling, identification, and characterization of microorganisms and their activities, particularly those of interest to man. Credit is not given for both MCB 101 and MCB 301. Prerequisite: Credit or concurrent registration in MCB 100.",Prerequisite: Credit or concurrent registration in MCB 100.,Credit is not given for both MCB 101 and MCB 301.,,,,3.64
MCB 150,MCB,150,Molecular & Cellular Basis of Life,4 Hours,"[IAI Code: L1910L and BIO910 with MCB 151] Introductory course focusing on the basic structure, metabolic, and molecular processes (including membranes, energy metabolism, genes) common to all cells. Emphasis on unique properties that differentiate the major sub-groups of organisms (Archaea, Bacteria, plants, and animals), and will discuss how cells are integrated into tissues and organs in multicellular organisms.",,,Nat Sci & Tech - Life Sciences,,,3.25
MCB 151,MCB,151,Molec & Cellular Laboratory,1 Hour,"[IAI Code: L1910L and BIO910 with MCB 150] Introductory laboratory course focusing on basic techniques in molecular and cellular biology. Credit is not given toward graduation for: Credit is not given for MCB 151 for students majoring in Molecular and Cellular Biology, or Integrative Biology; Credit is not given for both MCB 151 and MCB 251. Prerequisite: Concurrent enrollment in MCB 150.",Prerequisite: Concurrent enrollment in MCB 150.,"Credit is not given toward graduation for: Credit is not given for MCB 151 for students majoring in Molecular and Cellular Biology, or Integrative Biology; Credit is not given for both MCB 151 and MCB 251.",,,,3.86
MCB 170,MCB,170,Society and the Brain,3 Hours,"Presents recent findings concerning the brain-society interaction. The facts will span many levels, from molecular and cellular interactions, to the functions of specific brain regions, and on to the behaviors of individuals, groups and societies. Intended to bring a broad range of neurobiological data and ideas into an interesting and relevant context.",,,,,,3.65
MCB 198,MCB,198,Internship,0 Hours,"Full-time or part-time internship at another University or an off-campus medical facility, research institute or other approved institution. Approved for S/U grading only. May be repeated. Prerequisite: For MCB and Biochemistry majors only.",Prerequisite: For MCB and Biochemistry majors only.,,,,,
MCB 199,MCB,199,Undergraduate Open Seminar,1 to 5 Hours,Approved for letter and S/U grading. May be repeated to a maximum of 10 hours.,,,,,,3.59
MCB 244,MCB,244,Human Anatomy & Physiology I,3 Hours,"[IAI Code: BIO920C with MCB 245] Organ system biology with an emphasis on normal human anatomy and physiology, physiological processes and associated disease processes of the following systems; skeletal, muscle, nervous, sensory, and endocrine. Prerequisite: Credit or concurrent enrollment in CHEM 101, CHEM 102, or equivalent; or consent of instructor.","Prerequisite: Credit or concurrent enrollment in CHEM 101, CHEM 102, or equivalent; or consent of instructor.",,,,,3.24
MCB 245,MCB,245,Human Anat & Physiol Lab I,2 Hours,"[IAI Code: BIO920C with MCB 244] Laboratory exploration of normal human anatomy and physiology and relevant disease processes for the following systems: tissue, skeletal, nervous, muscular, sensory, and endocrine. Previously dissected human cadavers are an important part of the learning experience in this course, but students will not dissect human cadavers. Neither animal dissection or animal use are elements of this course. Prerequisite: Credit or concurrent enrollment in CHEM 101, CHEM 102, or equivalent; or consent of instructor.","Prerequisite: Credit or concurrent enrollment in CHEM 101, CHEM 102, or equivalent; or consent of instructor.",,,,,3.24
MCB 246,MCB,246,Human Anatomy & Physiology II,3 Hours,"[IAI Code: BIO920C with MCB 247] Organ system biology with an emphasis on normal human anatomy and physiology, physiological processes and associated disease processes of the following systems: digestion, cardiovascular, respiratory, renal, and reproductive. Prerequisite: MCB 244 and credit or concurrent enrollment in CHEM 101, CHEM 102, or equivalent or consent of instructor.","Prerequisite: MCB 244 and credit or concurrent enrollment in CHEM 101, CHEM 102, or equivalent or consent of instructor.",,,,,3.10
MCB 247,MCB,247,Human Anat & Physiol Lab II,2 Hours,"[IAI Code: BIO920C with MCB 246] Laboratory exploration of normal human anatomy and physiology and relevant disease processes for the following systems: digestive, cardiovascular, respiratory, renal, and reproductive. Previously dissected human cadavers are an important part of the learning experience in this course, but students will not dissect human cadavers. Neither animal dissection or animal use are elements of this course. Prerequisite: MCB 245 and credit or concurrent enrollment in CHEM 101, CHEM 102, or equivalent; or consent of instructor.","Prerequisite: MCB 245 and credit or concurrent enrollment in CHEM 101, CHEM 102, or equivalent; or consent of instructor.",,,,,3.34
MCB 250,MCB,250,Molecular Genetics,3 Hours,"Fundamentals of molecular biology including structure of DNA, RNA and proteins, mechanisms of DNA replication, transcription and translation, gene organization, genetic variation and repair, and regulation of gene expression in Bacteria, and Eukarya. Prerequisite: MCB 150, CHEM 102 and CHEM 104, or equivalents or consent of instructor.","Prerequisite: MCB 150, CHEM 102 and CHEM 104, or equivalents or consent of instructor.",,,,,2.89
MCB 251,MCB,251,Exp Techniqs in Molecular Biol,2 Hours,"Laboratory course emphasizing a range of molecular biology questions, and the experimental approaches and methodologies needed to answer these questions. Lectures will accompany labs to explain theoretical background and experimental rationale. Credit is not given for both MCB 251 and MCB 151. Prerequisite: Concurrent or prior enrollment in MCB 250 or consent of instructor.",Prerequisite: Concurrent or prior enrollment in MCB 250 or consent of instructor.,Credit is not given for both MCB 251 and MCB 151.,,,,3.62
MCB 252,MCB,252,"Cells, Tissues & Development",3 Hours,"Functional organization and physiology of cells and tissues, including cellular signaling, cellular interactions, and developmental processes. Prerequisite: MCB 250 or equivalent with consent of instructor.",Prerequisite: MCB 250 or equivalent with consent of instructor.,,,,,3.25
MCB 253,MCB,253,Exp Techniqs in Cellular Biol,2 Hours,"Laboratory course emphasizing experimental techniques in cellular biology, cellular physiology, and developmental biology. Credit is not given for both MCB 253 and MCB 151. Prerequisite: Concurrent or prior enrollment in MCB 252 or consent of instructor.",Prerequisite: Concurrent or prior enrollment in MCB 252 or consent of instructor.,Credit is not given for both MCB 253 and MCB 151.,,,,3.82
MCB 290,MCB,290,Undergraduate Research,1 to 5 Hours,"Students assist in and /or conduct research under faculty supervision in an MCB research laboratory. The topics and nature of the work will vary but will be defined as work conducted in MCB research laboratories. For each hour of course credit in fall and spring terms, the student will be expected to complete 5 hours of work in the lab as directed. 75-80 total hours would be the expectation for 1 credit hour during 15-16 week terms. May be repeated to a maximum of 10 hours. Prerequisite: Consent of instructor.",Prerequisite: Consent of instructor.,,,,,
MCB 291,MCB,291,Undergraduate Research Scholars,1 Hour,"Introduction to the professional practices, expectations, and skills essential for success in research. Topics include research ethics, data management, scientific literacy, scientific communication and presentation, time management, self-efficacy, and other aspects of the research process. Designed to complement the laboratory experience, the course aims to enhance student engagement and foster a community of undergraduate scholars. It is intended for undergraduate students participating in funded research opportunities in the School of Molecular and Cellular Biology. Approved for S/U grading only. May be repeated in separate terms up to 5 undergraduate hours. Prerequisite: Consent of Instructor.",Prerequisite: Consent of Instructor.,,,,,
MCB 292,MCB,292,Experiential Learning in MCB,1 or 2 Hours,"Supervised experiential learning activity related to the major of or career development within Molecular and Cellular Biology. Requires an Experiential Learning Proposal prior to the term, a minimum time commitment of 75 documented hours per credit hour within the term, regular documentation and reflection within the term, and a final culminating project at the end of the term. Approved for S/U grading only. Prerequisite: Restricted to declared undergraduates in any School of MCB major.",Prerequisite: Restricted to declared undergraduates in any School of MCB major.,,,,,
MCB 297,MCB,297,MCB Honors Discussion,1 Hour,"Honors discussion section associated with MCB 250, MCB 252, and MCB 354. Concurrent enrollment in the appropriate lecture course is required. May be repeated in separate terms to a maximum of 3 hours.",,,,,,
