course_code,subject,course_number,course_name,credits,description,prerequisites,credit_restrictions,gen_ed,total_students,total_sections,overall_gpa
SCAN 101,SCAN,101,Beginning Scandinavian I,4 Hours,"First course in the Scandinavian language sequence (usually Swedish). Instruction is by immersion, emphasis is on basic skills: reading, writing, speaking, and aural comprehension.",,,,,,
SCAN 102,SCAN,102,Beginning Scandinavian II,4 Hours,"Second course in the Scandinavian language sequence (usually Swedish). Instruction is by immersion, emphasis is on further developing basic skills: reading, writing, speaking, and aural comprehension. Prerequisite: SCAN 101 or consent of instructor.",Prerequisite: SCAN 101 or consent of instructor.,,,,,
SCAN 199,SCAN,199,Undergraduate Open Seminar,1 to 5 Hours,May be repeated.,,,,,,
SCAN 203,SCAN,203,Intermediate Scandinavian I,4 Hours,"Third course in the Scandinavian language sequence (usually Swedish). Emphasis is on conversational skills, discussion techniques and aural comprehension through the study of authentic texts, television and films, with emphasis on learning about contemporary issues in Sweden, including its relationship to the European Union. Instruction is by immersion. Credit is not given toward graduation for: SCAN 103 and SCAN 203. Prerequisite: SCAN 102 or consent of instructor.",Prerequisite: SCAN 102 or consent of instructor.,Credit is not given toward graduation for: SCAN 103 and SCAN 203.,,,,
SCAN 204,SCAN,204,Intermediate Scandinavian II,4 Hours,"Fourth course in the Scandinavian language sequence (usually Swedish). Emphasis is on close reading, translation and analysis of authentic texts, such as novels and drama in the target language. Instruction is by immersion. Credit is not given toward graduation for: SCAN 104 and SCAN 204. Prerequisite: SCAN 203 or consent of instructor.",Prerequisite: SCAN 203 or consent of instructor.,Credit is not given toward graduation for: SCAN 104 and SCAN 204.,,,,
SCAN 215,SCAN,215,"Madness, Myth, and Murder",3 Hours,"[IAI Code: H3909] Focuses on the achievements of major Scandinavian writers of prose fiction, from 1850 to today. Explores topics of madness, myth, and murder in literature. All reading, discussion, and writing in English. Same as CWL 215.",,,Humanities - Lit & Arts,,,
SCAN 225,SCAN,225,Vikings to Volvos: Scandinavia,3 Hours,"An introduction to the history, literature, and culture of Scandinavia and the Nordic region, from the Viking age until the modern era (700s-present). Includes discussion of Denmark, Norway, Sweden, Finland, Iceland, Faroe Islands, Svalbard, and Greenland. All readings in English. Same as HIST 254.",,,"Humanities - Lit & Arts
Cultural Studies - Western",,,
SCAN 251,SCAN,251,Viking Mythology,3 Hours,"Studies pre-Christian beliefs of the Germanic peoples as reflected primarily in medieval Icelandic prose and poetry (in translation). Same as CWL 251, MDVL 251, and REL 251.",,,"Humanities - Hist & Phil
Cultural Studies - Western",,,
SCAN 252,SCAN,252,Viking Sagas in Translation,3 Hours,"[IAI Code: H9901] Studies Old Norse-Icelandic literature: kings' sagas, family sagas, mythical-heroic sagas, and romances. Texts and lectures in English. Same as CWL 252 and MDVL 252.",,,"Humanities - Lit & Arts
Cultural Studies - Western",,,
SCAN 305,SCAN,305,Old Norse - Icelandic I,3 Hours,"Provides a solid proficiency in reading texts in Old Norse, the language of the Viking sagas and mythology. Prerequisite: Any SCAN course or knowledge or one other foreign language.",Prerequisite: Any SCAN course or knowledge or one other foreign language.,,,,,
SCAN 306,SCAN,306,Old Norse - Icelandic II,3 Hours,Assumes general competence in reading Old Norse. Readings and exploration of a wide assortment of essential text in the original language. Prerequisite: SCAN 305 or consent of instructor.,Prerequisite: SCAN 305 or consent of instructor.,,,,,
SCAN 376,SCAN,376,Children and Youth Literature,3 Hours,"Explores the understanding of childhood and youth in Scandinavia, with comparative focus on the US and the UK through children's literature and classic accounts of childhood in fiction, film, and related media. Will investigate how childhood is construed in books self-described as children's literature as well as in adult-audience fiction and memoirs; and how representations of childhood correlate with evolving ideas about family formation, child-rearing, the welfare state, and education in twentieth- and twenty-first century Scandinavia. This is put in comparative context with British and/or US children's literature. Same as CWL 376, EURO 376, and GWS 376. Credit is not given for both SCAN 376 and SCAN 576.",,Credit is not given for both SCAN 376 and SCAN 576.,,,,
SCAN 463,SCAN,463,Modern Scandinavian Drama,"3 or 4 Hours
3 undergraduate hours. 4 graduate hours.","Thematic and conceptual study of the Scandinavian dramatic tradition, from the late-nineteenth century classics of Henrik Ibsen and August Strindberg, to mid-century intermediality in works by Ingmar Bermgan, and to hyperrealism, postmodernism, and digital performativity by contemporary playwrights. Interpretive contexts include text-image studies, performativity, socio-cultural aspects of the Nordic region, theatre and production history, and gender and sexuality studies. Same as CWL 463 and THEA 483. 3 undergraduate hours. 4 graduate hours. Prerequisite: One college-level literature or theatre course, or consent of instructor.","Prerequisite: One college-level literature or theatre course, or consent of instructor.",,,,,
SCAN 470,SCAN,470,Scandinavian Politics and Society,"3 or 4 Hours
3 undergraduate hours. 4 graduate hours.","Investigate conceptions of Nordic and West-European countries from the early twentieth-century to today from critical interpretive, historical, and cultural studies perspectives. Building on close analysis of influential works in literature, film, arts, and architecture from primarily Denmark, Sweden, and Norway, the course will address historical factors and characteristics of the socio-cultural imaginary surrounding the rise and, some argue, subsequent dismantling of the Nordic welfare state. Same as CWL 470 and EURO 470. 3 undergraduate hours. 4 graduate hours. Prerequisite: At least one course in literature, film, or the arts; or consent of the instructor.","Prerequisite: At least one course in literature, film, or the arts; or consent of the instructor.",,,,,
