course_code,subject,course_number,course_name,credits,description,prerequisites,credit_restrictions,gen_ed,total_students,total_sections,overall_gpa
PS 100,PS,100,Intro to Political Science,3 Hours,[IAI Code: S5903] Surveys the major concepts and approaches employed in the study of politics.,,,Social & Beh Sci - Soc Sci,,,
PS 101,PS,101,Intro to US Gov & Pol,3 Hours,"[IAI Code: S5900] Examines the organization and development of national, state, and local governments in the U.S.; the federal system; the U.S. Constitutions; civil and political rights; the party system; and the nature, structure, powers, and procedures of national political institutions. This course may require limited participation as a subject in research.",,,Social & Beh Sci - Soc Sci,,,
PS 125,PS,125,Washington Experience,3 Hours,"An examination of political Washington and policymaking. Through visits to think tanks, nonprofit organizations and agencies we will examine the policymaking world in Washington and get to know different participants in this process, what they do, and how they interact and work to affect policy and express their ideas. This course is a required component of the Illinois in Washington Program. Prerequisite: Acceptance to and enrollment in the Illinois in Washington Program.",Prerequisite: Acceptance to and enrollment in the Illinois in Washington Program.,,,,,
PS 152,PS,152,The New Middle East,3 Hours,"Introduction to the comparative politics of the Middle East and North Africa (MENA). Course focuses on identifying and explaining differences among and across MENA countries and how they compare to other countries around the world, especially in terms of political stability, economic development, and citizen engagement. To explain these differences, the course considers several factors including colonialism, natural resources, religious institutions, and authoritarianism. Same as SAME 152.",,,"Cultural Studies - Non-West
Social & Beh Sci - Soc Sci",,,
PS 153,PS,153,The New East Asia,3 Hours,"Introduction to the comparative politics of North East Asia, with a focus on Mainland China, Taiwan, Japan, South and North Korea. Examines state building in East Asian regions; political development, institutional arrangements, and leadership of individual states; the role of states in promoting regional economic development; and state-society relations, focusing on identity, nationalism, and civil society development. Students will make connections between core concepts in comparative politics and gain familiarity with East Asian political contexts.",,,,,,
PS 170,PS,170,"Power, Politics, and Protest",3 Hours,"Study of how political institutions and laws can be both the vehicle and target of social and political transformation. Situates ideas about freedom of speech, civil disobedience, and political protest in historical context, showing how the contemporary political landscape has come to be what it is. An entry level course, it provides students with the fundaments of civic literacy and ideas and analytic tools needed to understand and engage political life.",,,Humanities - Hist & Phil,,,
PS 180,PS,180,IntroPolitics of Globalization,3 Hours,"Introduction to the politics of globalization; identification of the principal actors, properties, and patterns of the politics of globalization that distinguish global politics from other forms of politics between and within groups, communities, states, and international organizations.",,,,,,
PS 186,PS,186,Drones and Asymmetric Warfare,3 Hours,"Explores strategic and moral issues associated with unmanned aerial vehicles, commonly known as drones. Robotic aircraft already play an important role in 21st century warfare, counter-terrorism, and intelligence operations, and will become increasingly prominent as the technology advances. Students will develop an understanding of drones, asymmetric warfare, and related concepts, will explore academic findings and debates on these topics, and will develop the ability to critically engage with media coverage and politicians’ statements on these topics.",,,,,,
PS 191,PS,191,Topics in Civic Leadership,1 or 2 Hours,"Examines public and political life from the perspective of public and political leaders. Topics include professional development, career narratives, and/or development or selection of opportunities for civic or public service. May be repeated in separate terms if topics to vary to a maximum of 3 hours.",,,,,,
PS 199,PS,199,Undergraduate Open Seminar,1 to 5 Hours,May be repeated.,,,,,,
PS 201,PS,201,US Racial & Ethnic Politics,3 Hours,"Examines efforts by racial and ethnic communities to organize politically and by society to allocate resources based on race or ethnicity. Topical focus includes African Americans, Latinos, Asian Americans, Native Americans, and white ethnics. The primary goal of the course is to develop a more comprehensive understanding of racial and ethnic politics by identifying commonalities and differences among these groups and their relationship to the state. Same as AAS 201, AFRO 201, and LLS 201.",,,"Social & Beh Sci - Soc Sci
Cultural Studies - US Minority",,,
PS 202,PS,202,Religion & Politics in the US,3 Hours,"Examines how religion and politics influence each other in the United States, both historically and in contemporary society.",,,,,,
PS 214,PS,214,American Indian Law & Politics,3 Hours,"Examines the role of American Indians and Indian law in the US political system. Beginning with the core concept of sovereignty, the course then looks at Indian political mobilizations, tribal political economy, tribal governance, relations between tribes and states and between tribes and the federal government, and laws governing religious freedom and environmental issues. Same as AIS 214.",,,"Social & Beh Sci - Soc Sci
Cultural Studies - US Minority",,,
PS 220,PS,220,Intro to Public Policy,3 Hours,"Surveys the policy process including adoption, implementation, and evaluation. Topics may include reviews of substantive policy issues such as crime, energy, environment, poverty, foreign policy, civil liberties, or economic regulation. Prerequisite: PS 100 or PS 101, or consent of instructor.","Prerequisite: PS 100 or PS 101, or consent of instructor.",,,,,
PS 224,PS,224,Politics of the National Parks,3 Hours,"Examines the politics of national parks in the United States, including creation of parks, local support or opposition to parks, and park policy as well as policy questions such as the value of wilderness ecosystem management, endangered species protection, and role of parks in national identity and remembrance of events such as the Civil War, the Indian wars, or the civil rights movement. Same as RST 224. Additional fees may apply. See Class Schedule.",,,Social & Beh Sci - Soc Sci,,,
PS 225,PS,225,Environmental Politics & Policy,3 Hours,"Examinations of the political, economic, ecological, and cultural trade-offs between the use and the preservation of the environment, with particular emphasis on the preservation of land and water resources in national parks, forests, and other reserved lands. Same as RST 225.",,,Social & Beh Sci - Soc Sci,,,
PS 229,PS,229,Doing Politics Research,3 Hours,"Introduction to the research process in political science, covering key topics in research methods applied to the study of politics. It improves students’ understanding of research discussed in other political and social science courses while preparing students interested in conducting their own research.",,,"Quantitative Reasoning II
Social & Beh Sci - Soc Sci",,,
PS 230,PS,230,Intro to Pol Research,3 Hours,"Surveys the principles that guide empirical research in political science; emphasizes definition of research problems, principles and practices of measurement, use of data as evidence, and data analysis. Prerequisite: PS 100 or PS 101, or consent of instructor.","Prerequisite: PS 100 or PS 101, or consent of instructor.",,,,,
PS 231,PS,231,Strategic Models,3 Hours,"Introduces strategic models of political behavior and their implications for our understanding of politics. Uses simple models, inspired by game theory, to examine fundamental political questions.",,,,,,
PS 240,PS,240,Intro to Comp Politics,3 Hours,[IAI Code: S5905] Surveys the basic concepts and principles of political analysis from a comparative perspective.,,,Social & Beh Sci - Soc Sci,,,
PS 241,PS,241,Comparative Politics in the Global South,3 Hours,"[IAI Code: S5906N] Provides comparative and historical insights into the problems affecting the developing world by examining social, economic and political changes in Africa, Asia, and Latin America.",,,"Cultural Studies - Non-West
Social & Beh Sci - Soc Sci",,,
PS 242,PS,242,Introduction to Modern Africa,3 Hours,"Same as AFST 222, ANTH 222, and SOC 222. See AFST 222.",,,Cultural Studies - Non-West,,,
PS 243,PS,243,Pan Africanism,3 Hours,Same as AFRO 243 and AFST 243. See AFRO 243.,,,Cultural Studies - Non-West,,,
PS 244,PS,244,Introduction to Political Violence,3 Hours,"Political violence is ubiquitous. States, non-state actors, and individuals often resort to violence in pursuit of political goals, with potentially devastating consequences. This course explores a variety of forms of political violence, from wars, coups, and ethnic conflict to riots, terrorism, repression, and genocide. It concludes by exploring the alternative: non-violent resistance. Students will develop a working knowledge of these different types of political violence, their causes, and consequences. Credit is not given toward graduation for PS 244 if credit for PS 199 Section AL1 (Undergraduate Open Seminar: Intro to Political Violence) has already been earned.",,Credit is not given toward graduation for PS 244 if credit for PS 199 Section AL1 (Undergraduate Open Seminar: Intro to Political Violence) has already been earned.,,,,
PS 248,PS,248,Comparative Politics in Rich Democracies,3 Hours,"Introduction to the comparative politics of advanced industrialized (“rich”) democratic countries. Course focuses on identifying and explaining differences among and across these countries and how they compare to other countries around the world, especially in terms of state capacity, representativeness, belonging, and inequality. To explain these differences, the course considers several factors including culture as well as both electoral and economic institutions.",,,"Social & Beh Sci - Soc Sci
Cultural Studies - Western",,,
PS 250,PS,250,Social Movements & Contention,3 Hours,"From the Civil Rights Movement and the Arab Spring, to anti-femicide activism and gun rights advocacy, ordinary people have risen up and shaped history. Why do social movements emerge despite risks of repression? How do people overcome barriers to collective action? How do their strategies for organizing resistance differ, and with what consequences? This course is designed to answer these questions and others by examining the causes, dynamics, and consequences of organized resistance.",,,,,,
PS 270,PS,270,Intro to Political Theory,3 Hours,"[IAI Code: PLS913] Introduces the nature, structure, and purposes of political theory; examines major works on the problems of political order, obedience, justice, liberty, and representation to distinguish and clarify different theoretical approaches.",,,Humanities - Hist & Phil,,,
PS 272,PS,272,Women and Politics,3 Hours,"Examines the political status and roles of women. Topics include women's political behavior; feminist and anti-feminist politics; and contemporary legislative and public policy issues, such as educational equity, equal rights legislation, and health care delivery for women. Same as GWS 272.",,,,,,
PS 273,PS,273,Environment and Society,3 Hours,"Same as ESE 287, GGIS 287 and NRES 287. See NRES 287.",,,"Social & Beh Sci - Soc Sci
Cultural Studies - Western",,,
