course_code,subject,course_number,course_name,credits,description,prerequisites,credit_restrictions,gen_ed,total_students,total_sections,overall_gpa
GRK 101,GRK,101,Elementary Greek I,4 Hours,"Introduces ancient Greek (both classical and koine), including the reading of simple prose. Same as REL 111.",,,,,,
GRK 102,GRK,102,Elementary Greek II,4 Hours,Continuation of GRK 101. Grammar and reading in classical and koine Greek. Same as REL 112. Prerequisite: GRK 101.,Prerequisite: GRK 101.,,,,,
GRK 199,GRK,199,Undergraduate Open Seminar,1 to 5 Hours,May be repeated.,,,,,,
GRK 201,GRK,201,Classical & Koine Greek I,4 Hours,"Readings in classical Greek prose, and narrative and epistolary New Testament texts. Same as REL 200. Prerequisite: GRK 102.",Prerequisite: GRK 102.,,,,,
GRK 202,GRK,202,Classical & Koine Greek II,4 Hours,"Continuation of GRK 201. Further readings in classical Greek prose, and narrative and epistolary New Testament texts. Same as REL 204. Prerequisite: GRK 201 or equivalent.",Prerequisite: GRK 201 or equivalent.,,,,,
GRK 401,GRK,401,Survey of Greek Literature,"3 or 4 Hours
3 undergraduate hours. 4 graduate hours.",Advanced level readings in Ancient Greek literature. 3 undergraduate hours. 4 graduate hours. May be repeated if topics vary. Prerequisite: GRK 202 or equivalent.,Prerequisite: GRK 202 or equivalent.,,,,,
GRK 411,GRK,411,Greek Prose Composition,"3 Hours
3 undergraduate hours. 3 graduate hours.",Practice in the writing of Greek prose. 3 undergraduate hours. 3 graduate hours. Prerequisite: GRK 201 or equivalent.,Prerequisite: GRK 201 or equivalent.,,,,,
GRK 491,GRK,491,Readings in Greek Literature,"3 or 4 Hours
3 undergraduate hours. 4 graduate hours.","Readings in authors or special topics chosen by the instructor from the entire extant literature in Greek. 3 undergraduate hours. 4 graduate hours. May be repeated in separate terms, if topics vary. Prerequisite: GRK 401 or equivalent.",Prerequisite: GRK 401 or equivalent.,,,,,
GRK 492,GRK,492,Senior Thesis,"2 to 4 Hours
2 to 4 undergraduate hours. No graduate credit.",Thesis and honors. Open to candidates for distinction in Greek. 2 to 4 undergraduate hours. No graduate credit. Prerequisite: Senior standing and consent of Classics Honors Program.,Prerequisite: Senior standing and consent of Classics Honors Program.,No graduate credit.,,,,
GRK 493,GRK,493,Independent Reading,"1 to 4 Hours
1 to 4 undergraduate hours. 1 to 4 graduate hours.",1 to 4 undergraduate hours. 1 to 4 graduate hours. May be repeated to a maximum of 8 undergraduate hours or 12 graduate hours. Prerequisite: GRK 401 and consent of instructor.,Prerequisite: GRK 401 and consent of instructor.,,,,,
GRK 511,GRK,511,Advanced Composition,1 Hour,"Practice in writing continuous Greek prose, with special attention to stylistic problems.",,,,,,
GRK 520,GRK,520,Proseminar,4 Hours,"Alternating poetry and prose, concentrates on a major author from one of the following areas: epic, history, lyric poetry, oratory, drama, or philosophy. Areas normally follow this sequence in successive years. May be repeated to a maximum of 20 hours if topics vary. Prerequisite: GRK 491 or equivalent.",Prerequisite: GRK 491 or equivalent.,,,,,
GRK 531,GRK,531,Special Disciplines,4 Hours,"Variable content course concentrating on an area such as comparative grammar, epigraphy, metrics, palaeography, or papyrology. Same as LAT 531. May be repeated if topics vary. Prerequisite: GRK 491 and LAT 491, or equivalent.","Prerequisite: GRK 491 and LAT 491, or equivalent.",,,,,
GRK 580,GRK,580,Greek Seminar,4 Hours,Research on special problems of Greek literature; required of all majors in classical philology. May be repeated if topics vary. Prerequisite: A Greek proseminar.,Prerequisite: A Greek proseminar.,,,,,
GRK 595,GRK,595,Intro to Classical Studies,4 Hours,Introductory survey for graduate students in classics; prepares students for work at the graduate level and surveys basic bibliography and methodology. Same as LAT 595. Prerequisite: Graduate standing in classics.,Prerequisite: Graduate standing in classics.,,,,,
GRK 599,GRK,599,Thesis Research,0 to 16 Hours,Guidance in writing theses for advanced degrees. Approved for S/U grading only. May be repeated in the same term or in separate terms.,,,,,,
