course_code,subject,course_number,course_name,credits,description,prerequisites,credit_restrictions,gen_ed,total_students,total_sections,overall_gpa
FR 101,FR,101,Elementary French I,4 Hours,"Four-skill course leading toward elementary proficiency in oral expression, listening comprehension, reading, writing, and cultural understanding. Online language laboratory and internet assignments required.",,,,,,
FR 102,FR,102,Elementary French II,4 Hours,Continuation of FR 101. Introduces cultural and supplementary enrichment materials; requires online laboratory sessions as in FR 101. Prerequisite: FR 101 or one year of high school French.,Prerequisite: FR 101 or one year of high school French.,,,,,
FR 156,FR,156,Exploring Paris,3 Hours,"Examines the role of Paris in French culture through literature, art, and film. We will consider the city of Paris from its earliest beginnings to the modern era, as a physical, social, and symbolic reality. Through literature, art, and film we will explore the ways in which Paris is at the center of French political and intellectual life. Additionally, close attention will be paid to historical and political developments and their representation. All readings are in English and the course is conducted in English.",,,"Humanities - Lit & Arts
Cultural Studies - Western",,,
FR 165,FR,165,French in US Minority Cultures,3 Hours,"Introduction to the sociolinguistic and cultural history of French as a heritage language in African-American, Native American, and Cajun American communities from early colonial to late modern times. It focuses on the lived experiences and lasting heritage of contact and segregation between colonizers, farmers, refugees, and free and enslaved populations in the American Midwest and South. It features readings, music, heritage sites, and discussions of prejudice and discrimination, language shift and language loss, and the linguistic outcomes of slavery and settler colonialism.",,,Cultural Studies - US Minority,,,
FR 179,FR,179,Migration and French National Identity,3 Hours,"Studies books and films that introduce students to historical and contemporary debates surrounding French national identity in migrant and immigrant contexts in France. Emphasizes cultural difference and the complexities of the post-colonial world. Emphasizes themes of collective identity and community formation, immigration and exile, tensions between relations of domination and exploitation and between colonizing and colonized peoples, and the cultural pluralities of community and nation.",,,,,,
FR 190,FR,190,French Food for Thought,3 Hours,"Serves as an introduction to French culinary identity and history. Traces the impact of French food on global cuisines, cooking techniques, and food perception. Particular attention is paid to how French food impacts how we discern concepts of luxury and quality. Food is examined from a cultural and anthropological sense using theoretical texts to comprehend how and why cultures and societies consume food.",,,"Social & Beh Sci - Soc Sci
Cultural Studies - Western",,,
FR 195,FR,195,French Intellectual Tradition,3 Hours,"Close reading and in-depth discussion of texts by major French intellectuals from the sixteenth to the mid-twentieth century. Aims to explore the centrality of epistemology (How can we know? Can we know that which we know is true? How can we reason in the face of evil?) in selected texts that will be discussed within their historical contexts, investigating why these issues were raised then and how their contemporaries might have responded to them, as well as their relationship to issues still debated in the twenty-first century. Taught in English.",,,,,,
FR 199,FR,199,Undergraduate Open Seminar,1 to 5 Hours,Credit: 1 to 5 hours. May be repeated.,,,,,,
FR 203,FR,203,Intermediate French I,4 Hours,"Continuation of FR 102. Introduces students to a full range of structures to complete their initial study of the grammatical system; emphasizes the development of all four skills and cultural understanding through readings and audiovisual enrichment materials. Online language laboratory and internet assignments required. Prerequisite: FR 102 or equivalent, or a placement score showing high school achievement equivalent to FR 102.","Prerequisite: FR 102 or equivalent, or a placement score showing high school achievement equivalent to FR 102.",,,,,
FR 204,FR,204,Intermediate French II,4 Hours,"Continuation of FR 203. Comprehensive grammar review with emphasis on oral expression and the continued development of reading and written skills. Completion satisfies graduation requirement in the College of Liberal Arts and Sciences. Prerequisite: FR 103, FR 203, or equivalent, or a placement score showing high school achievement equivalent to FR 103 or FR 203.","Prerequisite: FR 103, FR 203, or equivalent, or a placement score showing high school achievement equivalent to FR 103 or FR 203.",,,,,
