course_code,subject,course_number,course_name,credits,description,prerequisites,credit_restrictions,gen_ed,total_students,total_sections,overall_gpa,catalog_text,source_url,catalog_year
CMN 101,CMN,101,Public Speaking,3 Hours,"[IAI Code: C2900] Preparation and presentation of short informative and persuasive speeches; emphasis on the selection and organization of material, methods of securing interest and attention, and the elements of delivery. Day1Access course materials information is available at https://go.illinois.edu/Day1Access. Credit is not given toward graduation for: Credit is not given for both CMN 101 and either CMN 111 or CMN 112.",,Credit is not given toward graduation for: Credit is not given for both CMN 101 and either CMN 111 or CMN 112.,,,,,"[CMN 101 Public Speaking credit: 3 Hours.](<https://courses.illinois.edu/schedule/terms/CMN/101>)

[IAI Code: C2900] Preparation and presentation of short informative and persuasive speeches; emphasis on the selection and organization of material, methods of securing interest and attention, and the elements of delivery. Day1Access course materials information is available at https://go.illinois.edu/Day1Access. Credit is not given toward graduation for: Credit is not given for both [CMN 101](<https://catalog.illinois.edu/search/?P=CMN%20101>) and either [CMN 111](<https://catalog.illinois.edu/search/?P=CMN%20111>) or [CMN 112](<https://catalog.illinois.edu/search/?P=CMN%20112>).",https://catalog.illinois.edu/courses-of-instruction/cmn/,2026–2027
CMN 102,CMN,102,Introduction to Communication,4 Hours,"Provides students with an overview of the major areas of study across the diverse field of Communication. Attention is given to the study of argumentation, persuasion, mediated communication effects, rhetoric, face-to-face communication with family, friends, and romantic partners, social support, nonverbal and verbal communication, group communication, health communication, organizational communication, race and communication, sports and communication, and common research methods in the field.",,,Social & Beh Sci - Beh Sci,,,,"[CMN 102 Introduction to Communication credit: 4 Hours.](<https://courses.illinois.edu/schedule/terms/CMN/102>)

Provides students with an overview of the major areas of study across the diverse field of Communication. Attention is given to the study of argumentation, persuasion, mediated communication effects, rhetoric, face-to-face communication with family, friends, and romantic partners, social support, nonverbal and verbal communication, group communication, health communication, organizational communication, race and communication, sports and communication, and common research methods in the field.
This course satisfies the General Education Criteria for:
Social & Beh Sci - Beh Sci",https://catalog.illinois.edu/courses-of-instruction/cmn/,2026–2027
CMN 111,CMN,111,Oral & Written Comm I,3 Hours,"[IAI Code: C1901R] Principles and practice in communication; stress on fundamentals of critical thinking in writing and speaking. The campus Composition I general education requirement is fulfilled by this course in conjunction with CMN 112. CMN 111+ CMN 112 cannot be taken by students who have completed the campus Composition I general education requirement. Credit is not given toward graduation for: Credit is not given for both CMN 111 + CMN 112, and other courses that fulfill the Composition I requirement (such as RHET 101+RHET 102, RHET 105, ESL 115); Credit is also not given for both CMN 111+ CMN 112, and CMN 101.",,"Credit is not given toward graduation for: Credit is not given for both CMN 111 + CMN 112, and other courses that fulfill the Composition I requirement (such as RHET 101+RHET 102, RHET 105, ESL 115); Credit is also not given for both CMN 111+ CMN 112, and CMN 101.",Composition I,,,,"[CMN 111 Oral & Written Comm I credit: 3 Hours.](<https://courses.illinois.edu/schedule/terms/CMN/111>)

[IAI Code: C1901R] Principles and practice in communication; stress on fundamentals of critical thinking in writing and speaking. The campus Composition I general education requirement is fulfilled by this course in conjunction with [CMN 112](<https://catalog.illinois.edu/search/?P=CMN%20112>). [CMN 111](<https://catalog.illinois.edu/search/?P=CMN%20111>)+ [CMN 112](<https://catalog.illinois.edu/search/?P=CMN%20112>) cannot be taken by students who have completed the campus Composition I general education requirement. Credit is not given toward graduation for: Credit is not given for both [CMN 111](<https://catalog.illinois.edu/search/?P=CMN%20111>) + [CMN 112](<https://catalog.illinois.edu/search/?P=CMN%20112>), and other courses that fulfill the Composition I requirement (such as [RHET 101](<https://catalog.illinois.edu/search/?P=RHET%20101>)+[RHET 102](<https://catalog.illinois.edu/search/?P=RHET%20102>), [RHET 105](<https://catalog.illinois.edu/search/?P=RHET%20105>), [ESL 115](<https://catalog.illinois.edu/search/?P=ESL%20115>)); Credit is also not given for both [CMN 111](<https://catalog.illinois.edu/search/?P=CMN%20111>)+ [CMN 112](<https://catalog.illinois.edu/search/?P=CMN%20112>), and [CMN 101](<https://catalog.illinois.edu/search/?P=CMN%20101>).
This course satisfies the General Education Criteria for:
Composition I",https://catalog.illinois.edu/courses-of-instruction/cmn/,2026–2027
CMN 112,CMN,112,Oral & Written Comm II,3 Hours,Continuation of Oral & Written Comm I; stress on deliberation and fundamentals of communication and public argument through speaking and writing. The campus Composition I general education requirement is fulfilled by this course in conjunction with CMN 111. Credit is not given for both CMN 111+CMN 112 and other courses that fulfill the Composition I requirement (such as RHET 101+ RHET 102; RHET 105; ESL 115); Credit is also not given for both CMN 111+ CMN 112 and CMN 101. CMN 111+ CMN 112 may not be taken by students who have completed the campus Composition I general education requirement. Prerequisite: CMN 111.,Prerequisite: CMN 111.,Credit is not given for both CMN 111+CMN 112 and other courses that fulfill the Composition I requirement (such as RHET 101+ RHET 102; RHET 105; ESL 115); Credit is also not given for both CMN 111+ CMN 112 and CMN 101.,Composition I,,,,"[CMN 112 Oral & Written Comm II credit: 3 Hours.](<https://courses.illinois.edu/schedule/terms/CMN/112>)

Continuation of Oral & Written Comm I; stress on deliberation and fundamentals of communication and public argument through speaking and writing. The campus Composition I general education requirement is fulfilled by this course in conjunction with [CMN 111](<https://catalog.illinois.edu/search/?P=CMN%20111>). Credit is not given for both [CMN 111](<https://catalog.illinois.edu/search/?P=CMN%20111>)+[CMN 112](<https://catalog.illinois.edu/search/?P=CMN%20112>) and other courses that fulfill the Composition I requirement (such as [RHET 101](<https://catalog.illinois.edu/search/?P=RHET%20101>)+ [RHET 102](<https://catalog.illinois.edu/search/?P=RHET%20102>); [RHET 105](<https://catalog.illinois.edu/search/?P=RHET%20105>); [ESL 115](<https://catalog.illinois.edu/search/?P=ESL%20115>)); Credit is also not given for both [CMN 111](<https://catalog.illinois.edu/search/?P=CMN%20111>)+ [CMN 112](<https://catalog.illinois.edu/search/?P=CMN%20112>) and [CMN 101](<https://catalog.illinois.edu/search/?P=CMN%20101>). [CMN 111](<https://catalog.illinois.edu/search/?P=CMN%20111>)+ [CMN 112](<https://catalog.illinois.edu/search/?P=CMN%20112>) may not be taken by students who have completed the campus Composition I general education requirement. Prerequisite: [CMN 111](<https://catalog.illinois.edu/search/?P=CMN%20111>).
This course satisfies the General Education Criteria for:
Composition I",https://catalog.illinois.edu/courses-of-instruction/cmn/,2026–2027
CMN 199,CMN,199,Undergraduate Open Seminar,0 to 5 Hours,May be repeated to a maximum of 6 hours.,,,,,,,"[CMN 199 Undergraduate Open Seminar credit: 0 to 5 Hours.](<https://courses.illinois.edu/schedule/terms/CMN/199>)

May be repeated to a maximum of 6 hours.",https://catalog.illinois.edu/courses-of-instruction/cmn/,2026–2027
CMN 204,CMN,204,Internship in Teaching Comm,3 Hours,"Supervised experience in assisting in the teaching of an undergraduate course in communication; practice in preparing and presenting brief lectures, conducting activities within class, and assisting students outside of class. Prerequisite: Junior standing, cumulative 3.0 grade-point average, 3.5 grade-point average in Communication coursework, recommendation from an instructor, and approval by application.","Prerequisite: Junior standing, cumulative 3.0 grade-point average, 3.5 grade-point average in Communication coursework, recommendation from an instructor, and approval by application.",,,,,,"[CMN 204 Internship in Teaching Comm credit: 3 Hours.](<https://courses.illinois.edu/schedule/terms/CMN/204>)

Supervised experience in assisting in the teaching of an undergraduate course in communication; practice in preparing and presenting brief lectures, conducting activities within class, and assisting students outside of class. Prerequisite: Junior standing, cumulative 3.0 grade-point average, 3.5 grade-point average in Communication coursework, recommendation from an instructor, and approval by application.",https://catalog.illinois.edu/courses-of-instruction/cmn/,2026–2027
CMN 210,CMN,210,Public Communication in Everyday Life,3 Hours,"Introduces concepts useful for the critical analysis of public communication in everyday life. Drawing on communication theory and practice, especially theories of rhetoric, the course investigates techniques of persuasion, offers tools for critical analysis of public discourse, and considers the political and ethical implications of various forms of public communication.",,,"Humanities - Hist & Phil
Cultural Studies - Western",,,,"[CMN 210 Public Communication in Everyday Life credit: 3 Hours.](<https://courses.illinois.edu/schedule/terms/CMN/210>)

Introduces concepts useful for the critical analysis of public communication in everyday life. Drawing on communication theory and practice, especially theories of rhetoric, the course investigates techniques of persuasion, offers tools for critical analysis of public discourse, and considers the political and ethical implications of various forms of public communication.
This course satisfies the General Education Criteria for:
Humanities - Hist & Phil
Cultural Studies - Western",https://catalog.illinois.edu/courses-of-instruction/cmn/,2026–2027
CMN 211,CMN,211,Business and Professional Communication,3 Hours,"Focus on relevant theory and research on communication strategies and skills vital to diverse business and professional contexts. Topics include personal branding and self-marketing; job interviewing basics; business ethics; business writing; networking; professional etiquette and behaviors; and business presentations. Activities include presentations, written assignments, and practice interviews. Prerequisite: CMN 101.",Prerequisite: CMN 101.,,,,,,"[CMN 211 Business and Professional Communication credit: 3 Hours.](<https://courses.illinois.edu/schedule/terms/CMN/211>)

Focus on relevant theory and research on communication strategies and skills vital to diverse business and professional contexts. Topics include personal branding and self-marketing; job interviewing basics; business ethics; business writing; networking; professional etiquette and behaviors; and business presentations. Activities include presentations, written assignments, and practice interviews. Prerequisite: [CMN 101](<https://catalog.illinois.edu/search/?P=CMN%20101>).",https://catalog.illinois.edu/courses-of-instruction/cmn/,2026–2027
CMN 212,CMN,212,Intro to Organizational Comm,3 Hours,"Considers major theories, research questions, and approaches to organizational communication.",,,,,,,"[CMN 212 Intro to Organizational Comm credit: 3 Hours.](<https://courses.illinois.edu/schedule/terms/CMN/212>)

Considers major theories, research questions, and approaches to organizational communication.",https://catalog.illinois.edu/courses-of-instruction/cmn/,2026–2027
CMN 213,CMN,213,Small Group Communication,3 Hours,"Considers major theories, processes, and practical measures contributing to effective communication in small group and team contexts.",,,,,,,"[CMN 213 Small Group Communication credit: 3 Hours.](<https://courses.illinois.edu/schedule/terms/CMN/213>)

Considers major theories, processes, and practical measures contributing to effective communication in small group and team contexts.",https://catalog.illinois.edu/courses-of-instruction/cmn/,2026–2027
