course_code,subject,course_number,course_name,credits,description,prerequisites,credit_restrictions,gen_ed,total_students,total_sections,overall_gpa,catalog_text,source_url,catalog_year
ANTH 101,ANTH,101,Introduction to Anthropology,3 Hours,"Anthropology was first envisioned as a holistic discipline, combining insights from the study of human anatomy and evolution, research on material remains of human settlements, and the analysis of social interaction in language and other cultural practices. Following this tradition, this course explores the questions about where humans came from, how societies live and communicate, and why human cultural groups vary.",,,"Social & Beh Sci - Soc Sci
Cultural Studies - Western",,,,"[ANTH 101 Introduction to Anthropology credit: 3 Hours.](<https://courses.illinois.edu/schedule/terms/ANTH/101>)

Anthropology was first envisioned as a holistic discipline, combining insights from the study of human anatomy and evolution, research on material remains of human settlements, and the analysis of social interaction in language and other cultural practices. Following this tradition, this course explores the questions about where humans came from, how societies live and communicate, and why human cultural groups vary.
This course satisfies the General Education Criteria for:
Social & Beh Sci - Soc Sci
Cultural Studies - Western",https://catalog.illinois.edu/courses-of-instruction/anth/,2026–2027
ANTH 102,ANTH,102,Human Origins and Culture,3 Hours,"Explores the origin and evolution of humans with an emphasis on reconstructing and interpreting fossil evidence. It provides an introduction to the fundamentals of biological anthropology and draws on a diverse range of other disciplines that contribute to the study of human evolution – evolutionary biology, population genetics, comparative anatomy, primatology, archaeology, geology and paleoecology. We examine the fossil and artifact record of the last several million years in order to develop an understanding of why we are interesting animals and a somewhat unique species.",,,Social & Beh Sci - Soc Sci,,,,"[ANTH 102 Human Origins and Culture credit: 3 Hours.](<https://courses.illinois.edu/schedule/terms/ANTH/102>)

Explores the origin and evolution of humans with an emphasis on reconstructing and interpreting fossil evidence. It provides an introduction to the fundamentals of biological anthropology and draws on a diverse range of other disciplines that contribute to the study of human evolution – evolutionary biology, population genetics, comparative anatomy, primatology, archaeology, geology and paleoecology. We examine the fossil and artifact record of the last several million years in order to develop an understanding of why we are interesting animals and a somewhat unique species.
This course satisfies the General Education Criteria for:
Social & Beh Sci - Soc Sci",https://catalog.illinois.edu/courses-of-instruction/anth/,2026–2027
ANTH 103,ANTH,103,Anthro in a Changing World,3 Hours,"[IAI Code: S1901N] Presents the fundamental areas of anthropological analysis through a series of comparative cases that emphasize social and cultural relations in global contexts. Directs attention to the anthropological history of global empires and colonial states, their cultural exchanges, and contemporary studies of culture, society, and globalization.",,,"Cultural Studies - Non-West
Social & Beh Sci - Soc Sci",,,,"[ANTH 103 Anthro in a Changing World credit: 3 Hours.](<https://courses.illinois.edu/schedule/terms/ANTH/103>)

[IAI Code: S1901N] Presents the fundamental areas of anthropological analysis through a series of comparative cases that emphasize social and cultural relations in global contexts. Directs attention to the anthropological history of global empires and colonial states, their cultural exchanges, and contemporary studies of culture, society, and globalization.
This course satisfies the General Education Criteria for:
Cultural Studies - Non-West
Social & Beh Sci - Soc Sci",https://catalog.illinois.edu/courses-of-instruction/anth/,2026–2027
ANTH 104,ANTH,104,Talking Culture,3 Hours,"Introduces you to language-in-use from the perspective of linguistic anthropology. We explore how the language(s) people use creates a specific ""worldview"" or cultural ""common sense"" and how this creates and maintains distinct concepts of self, society and culture. We will examine critically the ways in which differences in language and communication work in the USA in relation to power and politics, the media, gender, ethnicity/race, age, class, and identity, with comparisons to other cultures. During the semester you will encounter new information about language structure and use, and learn methods of investigation and analysis used in contemporary linguistic anthropology. Same as LING 104.",,,Social & Beh Sci - Soc Sci,,,,"[ANTH 104 Talking Culture credit: 3 Hours.](<https://courses.illinois.edu/schedule/terms/ANTH/104>)

Introduces you to language-in-use from the perspective of linguistic anthropology. We explore how the language(s) people use creates a specific ""worldview"" or cultural ""common sense"" and how this creates and maintains distinct concepts of self, society and culture. We will examine critically the ways in which differences in language and communication work in the USA in relation to power and politics, the media, gender, ethnicity/race, age, class, and identity, with comparisons to other cultures. During the semester you will encounter new information about language structure and use, and learn methods of investigation and analysis used in contemporary linguistic anthropology. Same as [LING 104](<https://catalog.illinois.edu/search/?P=LING%20104>).
This course satisfies the General Education Criteria for:
Social & Beh Sci - Soc Sci",https://catalog.illinois.edu/courses-of-instruction/anth/,2026–2027
ANTH 105,ANTH,105,World Archaeology,3 Hours,"Using archaeological data, traces our prehistoric heritage and the processes which led to the evolution of agriculture, settled villages, and civilization in many areas of the world. Lectures range from the earliest Homo sapiens to Sumeria, Egypt, Mexico, Peru, and the United States.",,,Humanities - Hist & Phil,,,,"[ANTH 105 World Archaeology credit: 3 Hours.](<https://courses.illinois.edu/schedule/terms/ANTH/105>)

Using archaeological data, traces our prehistoric heritage and the processes which led to the evolution of agriculture, settled villages, and civilization in many areas of the world. Lectures range from the earliest Homo sapiens to Sumeria, Egypt, Mexico, Peru, and the United States.
This course satisfies the General Education Criteria for:
Humanities - Hist & Phil",https://catalog.illinois.edu/courses-of-instruction/anth/,2026–2027
ANTH 106,ANTH,106,Hist Arch Americas,3 Hours,"Explores recent theoretical, methodological, and thematic developments in historical archaeology in North America and the Caribbean. The temporal coverage is 1500-1900 AD. Examines how historical archaeologists use artifactual, documentary and oral history evidence in interpreting the past, and how historical archaeology can contribute to our understanding of the ways by which material culture can be used to study race, class, gender, and ethnic identities. Same as AFRO 106.",,,"Humanities - Hist & Phil
Cultural Studies - US Minority",,,,"[ANTH 106 Hist Arch Americas credit: 3 Hours.](<https://courses.illinois.edu/schedule/terms/ANTH/106>)

Explores recent theoretical, methodological, and thematic developments in historical archaeology in North America and the Caribbean. The temporal coverage is 1500-1900 AD. Examines how historical archaeologists use artifactual, documentary and oral history evidence in interpreting the past, and how historical archaeology can contribute to our understanding of the ways by which material culture can be used to study race, class, gender, and ethnic identities. Same as [AFRO 106](<https://catalog.illinois.edu/search/?P=AFRO%20106>).
This course satisfies the General Education Criteria for:
Humanities - Hist & Phil
Cultural Studies - US Minority",https://catalog.illinois.edu/courses-of-instruction/anth/,2026–2027
ANTH 108,ANTH,108,Religion & Society in West I,3 Hours,"Same as JS 108, PHIL 108, and REL 108. See REL 108.",,,"Humanities - Hist & Phil
Cultural Studies - Western",,,,"[ANTH 108 Religion & Society in West I credit: 3 Hours.](<https://courses.illinois.edu/schedule/terms/ANTH/108>)

Same as [JS 108](<https://catalog.illinois.edu/search/?P=JS%20108>), [PHIL 108](<https://catalog.illinois.edu/search/?P=PHIL%20108>), and [REL 108](<https://catalog.illinois.edu/search/?P=REL%20108>). See [REL 108](<https://catalog.illinois.edu/search/?P=REL%20108>).
This course satisfies the General Education Criteria for:
Humanities - Hist & Phil
Cultural Studies - Western",https://catalog.illinois.edu/courses-of-instruction/anth/,2026–2027
ANTH 109,ANTH,109,Religion & Society in West II,3 Hours,Same as PHIL 109 and REL 109. See REL 109.,,,"Humanities - Hist & Phil
Cultural Studies - Western",,,,"[ANTH 109 Religion & Society in West II credit: 3 Hours.](<https://courses.illinois.edu/schedule/terms/ANTH/109>)

Same as [PHIL 109](<https://catalog.illinois.edu/search/?P=PHIL%20109>) and [REL 109](<https://catalog.illinois.edu/search/?P=REL%20109>). See [REL 109](<https://catalog.illinois.edu/search/?P=REL%20109>).
This course satisfies the General Education Criteria for:
Humanities - Hist & Phil
Cultural Studies - Western",https://catalog.illinois.edu/courses-of-instruction/anth/,2026–2027
ANTH 110,ANTH,110,Humanizing Science,3 Hours,"Scientists are often taught that the skills they need are confined to conducting research in the lab, the field, or the observatory. Yet science is also a human endeavor. If scientists are not taught this lesson, mistakes can be made that have real implications for people's lives, for scientific progress, and for who gets to be a scientist. Therefore this course will introduce 1) a brief history of Western and non-Western science, 2) the influences of social categories and oppressions on scientific advancement, 3) the incentive and reward structure of science, and 4) stories of scientists who have chosen to walk a brave path in the way they conduct and disseminate their research. We will engage in a mix of ethnographic and case study work and bring interpretive and systematic analysis to bear on what it means to be a scientist. The ultimate goal of the course is to provide a substantive, rigorous, and broad introduction to the culture of science, and how that culture affects the people of science, its practice, and its process.",,,Social & Beh Sci - Soc Sci,,,,"[ANTH 110 Humanizing Science credit: 3 Hours.](<https://courses.illinois.edu/schedule/terms/ANTH/110>)

Scientists are often taught that the skills they need are confined to conducting research in the lab, the field, or the observatory. Yet science is also a human endeavor. If scientists are not taught this lesson, mistakes can be made that have real implications for people's lives, for scientific progress, and for who gets to be a scientist. Therefore this course will introduce 1) a brief history of Western and non-Western science, 2) the influences of social categories and oppressions on scientific advancement, 3) the incentive and reward structure of science, and 4) stories of scientists who have chosen to walk a brave path in the way they conduct and disseminate their research. We will engage in a mix of ethnographic and case study work and bring interpretive and systematic analysis to bear on what it means to be a scientist. The ultimate goal of the course is to provide a substantive, rigorous, and broad introduction to the culture of science, and how that culture affects the people of science, its practice, and its process.
This course satisfies the General Education Criteria for:
Social & Beh Sci - Soc Sci",https://catalog.illinois.edu/courses-of-instruction/anth/,2026–2027
ANTH 112,ANTH,112,"Language, Race, and Ethnicity in the United States",3 Hours,"Exploring historical, cultural, and theoretical perspectives on the relationship between language, race, and ethnicity in the United States, we ask, what is 'race' and 'ethnicity', and how do ideas about racial and ethnic belonging and difference relate to ideas about language? We examine how language use reflects, reproduces, and/or challenges racial and ethnic boundaries and explore topics such as language and racial/ethnic identity-making, language and nationalism, bilingual/multilingual education, and language and racial humor.",,,,,,,"[ANTH 112 Language, Race, and Ethnicity in the United States credit: 3 Hours.](<https://courses.illinois.edu/schedule/terms/ANTH/112>)

Exploring historical, cultural, and theoretical perspectives on the relationship between language, race, and ethnicity in the United States, we ask, what is 'race' and 'ethnicity', and how do ideas about racial and ethnic belonging and difference relate to ideas about language? We examine how language use reflects, reproduces, and/or challenges racial and ethnic boundaries and explore topics such as language and racial/ethnic identity-making, language and nationalism, bilingual/multilingual education, and language and racial humor.",https://catalog.illinois.edu/courses-of-instruction/anth/,2026–2027
