course_code,subject,course_number,course_name,credits,description,prerequisites,credit_restrictions,gen_ed,total_students,total_sections,overall_gpa
EIL 199,EIL,199,Undergraduate Open Seminar,1 to 5 Hours,May be repeated.,,,,,,
EIL 214,EIL,214,TESL in the Elementary School,3 Hours,"On-site practical experience in an elementary school, involving at least 100 hours of classroom observations, consultations, teaching, tutoring, and assisting, to acquaint students with the many facets of ESL/bilingual education in a public school setting. Hours to be arranged with the cooperating teacher. Satisfies one requirement for those who wish to obtain an Illinois ESL endorsement on an Illinois teaching certificate.",,,,,,
EIL 215,EIL,215,TESL in the Secondary School,3 Hours,"On-site practical experience in a secondary school, involving at least 100 hours of classroom observations, consultations, teaching, tutoring, and assisting, to acquaint students with the many facets of ESL/bilingual education in a public school setting. Hours to be arranged with the cooperating teacher. Satisfies one requirement for those who wish to obtain an Illinois ESL endorsement on an Illinois teaching certificate.",,,,,,
EIL 411,EIL,411,Intro to TESL Methodology,"3 or 4 Hours
3 undergraduate hours. 4 graduate hours.","Introduction to TESL/TEFL, including the concept of ""communicative competence"" and its components; teaching contexts; current research on teaching second language skills; syllabus, lesson, and materials design; and classroom techniques. 3 undergraduate hours. 4 graduate hours.",,,,,,3.60
EIL 413,EIL,413,ESL Field Experience (EJP),"3 Hours
3 undergraduate hours. No graduate credit.","Practical guided experience teaching ESL. Students will review theory associated with second language acquisition with a focus on taking a critical look at communicative language teaching and other principles commonly associated with adult ESL education. Students will teach multiple lessons, developing their own lessons and materials based on principles of communicative language teaching. Additionally, students will participate in peer-observation and feedback with their peer student teachers. 3 undergraduate hours. No graduate credit. May be repeated in separate terms if topics vary. Prerequisite: EIL 411 or permission of the instructor. Restricted to Education Justice Project students located at Danville Correctional Center.",Prerequisite: EIL 411 or permission of the instructor.,No graduate credit.,,,,
EIL 422,EIL,422,Engl Grammar for ESL Teachers,"3 or 4 Hours
3 undergraduate hours. 4 graduate hours.","Adaptation of modern English grammar to meet the needs of the ESL/EFL teacher, with special emphasis on the development of knowledge and skills that can be used in the analysis of the syntax, lexis and pragmatics of English. Same as ENGL 404. 3 undergraduate hours. 4 graduate hours.",,,,,,3.44
EIL 445,EIL,445,Second Lang Reading & Writing,"3 or 4 Hours
3 undergraduate hours. 4 graduate hours.","Introduces students to second language reading and writing, including theory, research, and practical application. May be taken concurrently with LING 489 with consent of instructor. 3 undergraduate hours. 4 graduate hours. Prerequisite: Consent of instructor.",Prerequisite: Consent of instructor.,,,,,3.87
EIL 456,EIL,456,Lang and Social Interaction I,"3 or 4 Hours
3 undergraduate hours. 4 graduate hours.","The course goals are to develop an understanding of the characteristics of naturally-occurring talk; several methodologies for collecting and studying it; the relationship of talk to human conduct, society and culture, including cross-cultural (mis)understanding; and to relate these insights to language learning, language teaching methodologies, and materials design. 3 undergraduate hours. 4 graduate hours. Prerequisite: Consent of instructor.",Prerequisite: Consent of instructor.,,,,,
EIL 460,EIL,460,Principles of Language Testing,"3 or 4 Hours
3 undergraduate hours. 4 graduate hours.","Studies theoretical and practical aspects of language testing. Examines purposes and types of language tests in relation to theories of language use and language teaching goals; discusses testing practices and procedures related to language teaching and language research; and includes the planning, writing, and administration of tests, basic descriptive statistics, and test analysis. A project is required. Same as EPSY 487, FR 460, GER 460, ITAL 460, PORT 460, and SPAN 460. 3 undergraduate hours. 4 graduate hours. Prerequisite: LING 489 or consent of instructor.",Prerequisite: LING 489 or consent of instructor.,,,,,3.55
EIL 465,EIL,465,TESL in the Community,"3 Hours
3 undergraduate hours. No graduate credit.","Focused classroom-based support for observation of teachers of English to multilingual learners, practice in teaching such learners, an opportunity to view and evaluate yourself as a TESL professional, and an opportunity to provide a service to the TESL profession, as well as to a specific community of learners. 3 undergraduate hours. No graduate credit. Prerequisite: At least two of the TESL core courses (EIL 422, EIL 445, EIL 456, and EIL 460) and two of the LING core courses (LING 222, LING 301, LING 302, and LING 307). For LING+TESL majors only; junior standing required.","Prerequisite: At least two of the TESL core courses (EIL 422, EIL 445, EIL 456, and EIL 460) and two of the LING core courses (LING 222, LING 301, LING 302, and LING 307).",No graduate credit.,,,,
EIL 487,EIL,487,Topics in Second Lang Studies,"2 or 4 Hours
2 or 4 undergraduate hours. 2 or 4 graduate hours.",Topics on practical applications of second language studies for classroom practice. 2 or 4 undergraduate hours. 2 or 4 graduate hours. May be repeated to a maximum of 8 hours if topics vary. Prerequisite: Consent of instructor.,Prerequisite: Consent of instructor.,,,,,
EIL 488,EIL,488,Phonology for Second Language Teachers,"3 or 4 Hours
3 undergraduate hours. 4 graduate hours.",Applications of linguistics to language learning with special emphasis on learning the sound system of English. The course involves face-to-face and online instruction. 3 undergraduate hours. 4 graduate hours. Prerequisite: Consent of instructor. A linguistics introductory course.,Prerequisite: Consent of instructor.,,,,,3.61
EIL 512,EIL,512,Practicum in Teaching ESL,4 Hours,"Practical guided experience teaching ESL. Students will recruit, test, and teach an ESL class of adults from the community, developing their own lessons and materials based on principles of communicative language teaching. Students will also observe their peer student teachers and provide them with feedback. Prerequisite: EIL 411 and permission of instructor.",Prerequisite: EIL 411 and permission of instructor.,,,,,
EIL 580,EIL,580,Classroom Language Acquisition,4 Hours,"Same as FR 580, GER 580, ITAL 580, PORT 580, and SPAN 580. See SPAN 580.",,,,,,
