course_code,subject,course_number,course_name,credits,description,prerequisites,credit_restrictions,gen_ed,total_students,total_sections,overall_gpa
PHIL 100,PHIL,100,Intro to Philosophy-ACP,3 Hours,"Consideration of some main problems of philosophy concerning, for example, knowledge, God, mind and body, and human freedom. Course is identical to PHIL 101 except for the additional writing component. Credit is not given for both PHIL 100 and PHIL 101. Prerequisite: Completion of campus Composition I general education requirement.",Prerequisite: Completion of campus Composition I general education requirement.,Credit is not given for both PHIL 100 and PHIL 101.,"Advanced Composition
Humanities - Hist & Phil",,,3.44
PHIL 101,PHIL,101,Introduction to Philosophy,3 Hours,"[IAI Code: H4900] Consideration of some main problems of philosophy concerning, for example, knowledge, God, mind and body, and human freedom. Credit is not given toward graduation for: Credit is not given for both PHIL 101 and PHIL 100.",,Credit is not given toward graduation for: Credit is not given for both PHIL 101 and PHIL 100.,Humanities - Hist & Phil,,,3.16
PHIL 102,PHIL,102,Logic and Reasoning,3 Hours,"Practical study of logical reasoning; techniques for analyzing and criticizing arguments, with emphasis on assessing the logical coherence of what we read and write.",,,Humanities - Hist & Phil,,,2.79
PHIL 103,PHIL,103,Logic and Reasoning QR II,3 Hours,"Practical study of logical reasoning; techniques for analyzing and criticizing arguments, with emphasis on assessing the logical coherence of what we read and write. Credit is not given for both PHIL 103 and PHIL 102.",,Credit is not given for both PHIL 103 and PHIL 102.,"Humanities - Hist & Phil
Quantitative Reasoning II",,,3.03
PHIL 104,PHIL,104,Intro to Ethics-ACP,3 Hours,"Some basic questions of ethics, discussed in the light of influential ethical theories and with reference to specific moral problems, such as: What makes an action morally right? Are moral standards absolute or relative? What is relation between personal morality and social morality, and between social morality and law? Course is identical to PHIL 105 except for the additional writing component. Credit is not given for both PHIL 104 and either PHIL 105 or PHIL 106. Prerequisite: Completion of campus Composition I general education requirement.",Prerequisite: Completion of campus Composition I general education requirement.,Credit is not given for both PHIL 104 and either PHIL 105 or PHIL 106.,"Advanced Composition
Humanities - Hist & Phil",,,3.48
PHIL 105,PHIL,105,Introduction to Ethics,3 Hours,"Some basic questions of ethics, discussed in the light of influential ethical theories and with reference to specific moral problems, such as: what makes an action morally right? are moral standards absolute or relative? what is the relation between personal morality and social morality, and between social morality and law? Credit is not given for both PHIL 105 and either PHIL 104 or PHIL 106.",,Credit is not given for both PHIL 105 and either PHIL 104 or PHIL 106.,Humanities - Hist & Phil,,,3.46
PHIL 106,PHIL,106,Ethics and Social Policy,3 Hours,"Examination of the moral aspects of social problems, and a survey of ethical principles formulated to validate social policy. Credit is not given for both PHIL 106 and either PHIL 104 or PHIL 105.",,Credit is not given for both PHIL 106 and either PHIL 104 or PHIL 105.,Social & Beh Sci - Soc Sci,,,3.67
PHIL 107,PHIL,107,Intro to Political Philosophy,3 Hours,"Introduction to core ideas in political and legal philosophy, for example, rights, equality, political obligations, legitimacy of states, nationalism, and oppression.",,,Social & Beh Sci - Soc Sci,,,3.33
PHIL 108,PHIL,108,Religion & Society in West I,3 Hours,"Same as ANTH 108, JS 108, and REL 108. See REL 108.",,,"Humanities - Hist & Phil
Cultural Studies - Western",,,
PHIL 109,PHIL,109,Religion & Society in West II,3 Hours,Same as ANTH 109 and REL 109. See REL 109.,,,"Humanities - Hist & Phil
Cultural Studies - Western",,,
PHIL 110,PHIL,110,World Religions,3 Hours,Same as REL 110. See REL 110.,,,"Humanities - Hist & Phil
Cultural Studies - Non-West",,,
PHIL 111,PHIL,111,Living Well Online,3 Hours,"Philosophical reflection on human happiness, flourishing, and virtue, with a focus on the challenge of living well in a digital age. Along with classic philosophical texts by Plato, Aristotle, and others, we will read and discuss a number of contemporary authors who have reflected on the ways that our lives are changed by the pervasive presence of digital technology.",,,,,,
PHIL 112,PHIL,112,The Meaning of Life,3 Hours,"What is the meaning of life? Does life even have a meaning? If life doesn’t have a meaning, is that a problem? This course examines these and related questions, and critically surveys answers from a variety of religious, philosophical, literary, and scientific sources. While this course won’t try to tell you what the meaning of your life really is or should be, it will give you tools to help you reach your own conclusions.",,,,,,
PHIL 199,PHIL,199,Undergraduate Open Seminar,3 Hours,Undergraduate seminar with variable topics in the area of philosophy. Approved for both Letter and S/U grading. May be repeated in the same term up to 6 UG hours if topics vary or in separate terms up to 6 UG hours if topics vary.,,,,,,
PHIL 201,PHIL,201,Philosophy in Literature,3 Hours,"Consideration of the philosophical themes implicit in a variety of important literary works, both classical and modern; may include such authors as Sophocles, Shakespeare, Goethe, Dostoevsky, and Sartre.",,,,,,3.53
PHIL 202,PHIL,202,Symbolic Logic,3 Hours,"Introduction to the techniques of formal logic, dealing primarily with truth-functional logic and quantification theory.",,,Quantitative Reasoning I,,,2.88
PHIL 203,PHIL,203,Ancient Philosophy,4 Hours,"[IAI Code: H4901] Introduction to ancient philosophy, concentrating on Plato and Aristotle, dealing with such topics as metaphysics, ethics, and the theory of knowledge. Same as CLCV 203.",,,,,,3.13
PHIL 206,PHIL,206,Early Modern Philosophy,4 Hours,"[IAI Code: H4902] The history of philosophy from Descartes to Kant, concentrating on such topics as metaphysics, ethics, and the theory of knowledge.",,,Humanities - Hist & Phil,,,3.11
PHIL 208,PHIL,208,Introduction to Asian Philosophy,3 Hours,"Investigation of some of the most influential philosophical movements and texts of India and China: the Vedas, Upanishads, Buddhism, Confucianism, Mohism, Daoism, and other texts and movements. Of particular focus is how these traditions answer philosophical questions such as what is the good life? How should society be structured? What is knowledge? Is all knowledge relative? What is the nature of reality? What is the individual’s relationship to society or the environment?.",,,,,,
PHIL 210,PHIL,210,Ethics,3 Hours,"[IAI Code: H4904] Problems in ethical theory; the nature of right and wrong, justice, conscience, moral feelings, etc.",,,Humanities - Hist & Phil,,,3.41
PHIL 214,PHIL,214,Biomedical Ethics,3 Hours,"Philosophical study of selected moral and social problems concerning medicine and biology, such as euthanasia, abortion, allocation of scarce medical resources, health care and rights, and genetic engineering.",,,Humanities - Hist & Phil,,,2.94
PHIL 219,PHIL,219,"Philosophy of Class, Gender, and Race",3 Hours,"Introduction to philosophical discussion of class, gender, and race. Conversations will span class consciousness, contemporary unionizing, concepts of gender, orientation, defining race, and experiences of racial ambiguity. The course integrates reflections on intersectionality throughout to explore the congruence and dissimilarity of discourses on class, gender, and race.",,,,,,3.66
PHIL 222,PHIL,222,Philosophical Foundations of Computer Science,3 Hours,"Introduction to certain ideas and issues at the intersection of computer science and philosophy. Students will focus on foundational questions related to the birth of computer science as a discipline, philosophical issues regarding knowledge and reality that researchers face in the frontiers of contemporary computer science, and current ethical issues related to the uses of machines and computers in society.",,,Humanities - Hist & Phil,,,3.59
PHIL 223,PHIL,223,Minds & Machines,3 Hours,"Introduction to certain ideas and issues at the intersection of computer science and philosophy. Students will focus on the nature of human minds and brains in light of what we know about machine “minds” and “hardware” (and vice versa), as well as on philosophical considerations of the societal effects and implications of the rise of intelligent machines.",,,Humanities - Hist & Phil,,,3.15
PHIL 230,PHIL,230,Philosophy of Religion Intro,3 Hours,[IAI Code: H4905] Introduction to philosophical analysis of religious thought and experience. Same as REL 230.,,,,,,
PHIL 231,PHIL,231,Happiness and the Good Life,3 Hours,Same as REL 231. See REL 231.,,,Humanities - Hist & Phil,,,
PHIL 250,PHIL,250,Conceptions of Human Nature,3 Hours,Comparative examination of important historical and contemporary conceptions of human nature.,,,Humanities - Hist & Phil,,,3.49
PHIL 270,PHIL,270,Philosophy of Science,3 Hours,"Investigation of the nature of scientific knowledge by examining archetypal examples from physical science (e.g., Ptolemaic and Copernican astronomy); nature of scientific truth, validation of theories, nature of scientific theories, evolution of theories, experimental procedure, role of presuppositions, scientific revolutions, etc.",,,Humanities - Hist & Phil,,,3.40
PHIL 307,PHIL,307,Elmnts Semantics & Pragmatics,3 Hours,Same as LING 307. See LING 307.,,,,,,
PHIL 316,PHIL,316,Ethics and Engineering,3 Hours,Same as ECE 316. See ECE 316.,,,"Advanced Composition
Humanities - Hist & Phil",,,
PHIL 351,PHIL,351,Thinking and Reasoning,3 Hours,"An overview of historical and contemporary research on thinking, reasoning, and problem-solving. Topics will include normative systems of logic, defeasible/non-monotonic reasoning, psychological models of reasoning, heuristic problem-solving, insight and creativity, Bayesian decision-making, decision-making biases, and fast-and-frugal heuristics. Prerequisite: Either PSYC 100 and PSYC 224, or PHIL 101 and PHIL 102, or consent of instructor.","Prerequisite: Either PSYC 100 and PSYC 224, or PHIL 101 and PHIL 102, or consent of instructor.",,,,,
PHIL 360,PHIL,360,Introduction to Non-Classical Logics,3 Hours,"Exploration of a range of formal alternatives to and extensions of classical (deductive) logic, such as modal logic, intuitionist logic, and relevant logic. Elements of syntax and semantics for each logic, along with a tableau proof theory, will be discussed. Students will also engage with the philosophical motivations behind these logics and critically examine the challenges they present. Prerequisite: PHIL 202.",Prerequisite: PHIL 202.,,,,,
PHIL 380,PHIL,380,Current Controversies,3 Hours,"Philosophical examination of positions taken on some issue of current concern, for example, human sexuality, death and dying, feminism, race, intelligence, war, sociobiology, and environmental ethics. See Class Schedule for current topics. May be repeated with approval.",,,,,,3.73
PHIL 390,PHIL,390,Individual Study,2 to 4 Hours,Readings in selected philosophical topics. Course may be taken by honors students in partial fulfillment of department honors requirements. May be repeated to a maximum of 6 hours in separate terms. Prerequisite: Open to juniors and seniors with a grade-point average of 3.0 only by prior arrangement with a member of the faculty and with consent of the department director of undergraduate studies or the chair.,Prerequisite: Open to juniors and seniors with a grade-point average of 3.0 only by prior arrangement with a member of the faculty and with consent of the department director of undergraduate studies or the chair.,,,,,
PHIL 404,PHIL,404,Medieval Philosophy,"3 or 4 Hours
3 undergraduate hours. 3 or 4 graduate hours.",History of philosophy from St. Augustine to William of Ockham. 3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: PHIL 101 or PHIL 203.,Prerequisite: PHIL 101 or PHIL 203.,,,,,
PHIL 407,PHIL,407,Logic and Linguistic Analysis,3 or 4 Hours,Same as LING 407. See LING 407.,,,,,,
PHIL 410,PHIL,410,Classical Ancient Philosophers,"3 or 4 Hours
3 undergraduate hours. 3 or 4 graduate hours.","Intensive study of one ancient philosopher or the intensive study of a major philosophical problem through the consideration of a number of ancient philosophers; chief emphasis on Plato and/or Aristotle. 3 undergraduate hours. 3 or 4 graduate hours. May be repeated with approval, if topics vary. Prerequisite: One course in philosophy, preferably PHIL 203.","Prerequisite: One course in philosophy, preferably PHIL 203.",,,,,
PHIL 411,PHIL,411,Nineteenth Century Philosophy,"3 or 4 Hours
3 undergraduate hours. 4 graduate hours.","Examination of the thought of such major figures as Hegel, Marx, and Nietzsche. 3 undergraduate hours. 4 graduate hours. May be repeated in the same or separate semesters up to 6 undergraduate hours or up to 8 graduate hours with approval, if topics vary. Prerequisite: One course in philosophy.",Prerequisite: One course in philosophy.,,,,,2.60
