course_code,subject,course_number,course_name,credits,description,prerequisites,credit_restrictions,gen_ed,total_students,total_sections,overall_gpa
CHEM 101,CHEM,101,Introductory Chemistry,3 Hours,"[IAI Code: P1902] Introduction to the basic concepts and language of chemistry; lectures, discussions, and lab. Preparatory chemistry course for students who require additional background before enrolling in CHEM 102. This course has been approved for graduation credit for all students in the College of LAS. Students in other colleges should check with their college office. Additional fees may apply. See Class Schedule. Prerequisite: 2.5 years of high school mathematics, or credit or concurrent registration in MATH 112.","Prerequisite: 2.5 years of high school mathematics, or credit or concurrent registration in MATH 112.",,Nat Sci & Tech - Phys Sciences,,,
CHEM 102,CHEM,102,General Chemistry I,3 Hours,"[IAI Code: CHM911] For students who have some prior knowledge of chemistry. Principles governing atomic structure, bonding, states of matter, stoichiometry, and chemical equilibrium. Credit is not given toward graduation for: Credit is not given for both CHEM 102 and CHEM 202. Prerequisite: Credit in or exemption from MATH 112; one year of high school chemistry or equivalent. All students enrolled in CHEM 102 should also enroll in CHEM 103.",Prerequisite: Credit in or exemption from MATH 112; one year of high school chemistry or equivalent.,Credit is not given toward graduation for: Credit is not given for both CHEM 102 and CHEM 202.,Nat Sci & Tech - Phys Sciences,,,
CHEM 103,CHEM,103,General Chemistry Lab I,1 Hour,[IAI Code: P1902 with CHEM 102] Laboratory studies to accompany CHEM 102. Additional fees may apply. See Class Schedule. Credit is not given toward graduation for: CHEM 103 and CHEM 203. Prerequisite: Credit or concurrent registration in CHEM 102 is required.,Prerequisite: Credit or concurrent registration in CHEM 102 is required.,Credit is not given toward graduation for: CHEM 103 and CHEM 203.,,,,
CHEM 104,CHEM,104,General Chemistry II,3 Hours,"[IAI Code: CHM912] Lecture and discussions. Chemistry of materials, including organic and biological substances, chemical energetics and equilibrium, chemical kinetics, and electrochemistry. Credit is not given toward graduation for: Credit is not given for both CHEM 104 and CHEM 204. Prerequisite: CHEM 102 or CHEM 202 or advanced placement credit for one semester of college-level chemistry. All students enrolled in CHEM 104 should also enroll in CHEM 105.",Prerequisite: CHEM 102 or CHEM 202 or advanced placement credit for one semester of college-level chemistry.,Credit is not given toward graduation for: Credit is not given for both CHEM 104 and CHEM 204.,Nat Sci & Tech - Phys Sciences,,,
CHEM 105,CHEM,105,General Chemistry Lab II,1 Hour,[IAI Code: CHM912] Laboratory studies to accompany CHEM 104. Additional fees may apply. See Class Schedule. Credit is not given toward graduation for: CHEM 105 and CHEM 205. Prerequisite: CHEM 102 and CHEM 103. Credit or concurrent registration in CHEM 104 is required.,Prerequisite: CHEM 102 and CHEM 103.,Credit is not given toward graduation for: CHEM 105 and CHEM 205.,,,,
CHEM 108,CHEM,108,"Chemistry, Everyday Phenomena",3 Hours,"[IAI Code: P1903] Introduces the student to the basic applications of chemistry in everyday life. Topics covered include climate change, radioactive isotopes, isolation of elements, polymers, and catalysis. Credit in CHEM 108 does not count toward Chemistry requirements for students in the Specialized Curriculum in Chemistry, the Science and Letters Chemistry major, the Chemistry Teaching Option, or the Chemistry minor; however the course may be taken by students in any of these groups for general education hours. Prerequisite: Credit or concurrent registration in MATH 112.",Prerequisite: Credit or concurrent registration in MATH 112.,,Nat Sci & Tech - Phys Sciences,,,
CHEM 197,CHEM,197,Individual Study Freshman,1 to 2 Hours,"Individual study of problems related to chemistry or research not necessarily leading to a senior thesis. May be repeated in separate terms to a maximum of 4 hours. A maximum of 2 hours may be used toward the major. A maximum of 18 hours of CHEM 197, CHEM 297, CHEM 397, CHEM 497 and/or CHEM 499 may be used toward the degree. Prerequisite: Chemistry faculty approval required to register.",Prerequisite: Chemistry faculty approval required to register.,,,,,
CHEM 199,CHEM,199,Undergraduate Open Seminar,0 to 5 Hours,Approved for letter and S/U grading. May be repeated.,,,,,,
CHEM 202,CHEM,202,Accelerated Chemistry I,3 Hours,"Lectures and discussions. Beginning chemistry course for students in the chemical sciences and others with strong high school chemistry and mathematics preparation. Chemical calculations, structure, bonding and equilibrium. Credit is not given for both CHEM 202 and CHEM 102. Prerequisite: Credit or concurrent registration in MATH 220 or MATH 221; concurrent registration in CHEM 203.",Prerequisite: Credit or concurrent registration in MATH 220 or MATH 221; concurrent registration in CHEM 203.,Credit is not given for both CHEM 202 and CHEM 102.,Nat Sci & Tech - Phys Sciences,,,
CHEM 203,CHEM,203,Accelerated Chemistry Lab I,2 Hours,Companion laboratory course to CHEM 202. Comprehensive skills-oriented approach to learning laboratory technique and safety. Additional fees may apply. See Class Schedule. Students may receive no more than two credit hours for both this course and CHEM 103. Prerequisite: Concurrent registration or credit in CHEM 202 or consent of instructor.,Prerequisite: Concurrent registration or credit in CHEM 202 or consent of instructor.,,,,,
