course_code,subject,course_number,course_name,credits,description,prerequisites,credit_restrictions,gen_ed,total_students,total_sections,overall_gpa
GER 101,GER,101,Beginning German I,4 Hours,"Introductory course focusing on listening comprehension, oral skills, reading, writing, and culture.",,,,,,3.38
GER 102,GER,102,Beginning German II,4 Hours,"Continuation of GER 101. Continued focus on listening comprehension, oral skills, reading, writing, and culture at an introductory level. Prerequisite: One semester of college German or equivalent.",Prerequisite: One semester of college German or equivalent.,,,,,3.40
GER 191,GER,191,Freshman Honors Tutorial,1 to 3 Hours,Study of selected topics on an individually arranged basis. Open only to honors majors or to Cohn Scholars and Associates. May be repeated once. Prerequisite: Consent of departmental honors advisor.,Prerequisite: Consent of departmental honors advisor.,,,,,
GER 199,GER,199,Undergraduate Open Seminar,1 to 5 Hours,Credit: 1 to 5 hours. May be repeated.,,,,,,
GER 200,GER,200,German Literature in Trans,3 Hours,Introduction to German literature for students with no knowledge of German. Same as CWL 224. May be repeated if topics vary.,,,,,,
GER 201,GER,201,German Popular Culture,3 Hours,"Introduction to the study of modern and contemporary german culture through examining examples of popular culture from the late-eighteenth century to the present. Looks at texts and films as a mirror and critique of modern German society. Topics to be discussed: nationalism, gender, ethnicity, minority cultures, Jewish life in Germany, German images of other cultures, etc. Course taught in English.",,,"Humanities - Lit & Arts
Cultural Studies - Western",,,
GER 203,GER,203,Intermediate German I,4 Hours,"Continuation of GER 102. Intermediate course focusing on listening comprehension, oral skills, reading, writing, and culture. Credit is not given toward graduation for: GER 103 and GER 203. Prerequisite: Two semesters of college German or equivalent.",Prerequisite: Two semesters of college German or equivalent.,Credit is not given toward graduation for: GER 103 and GER 203.,,,,
GER 204,GER,204,Intermediate German II,4 Hours,"Continuation of GER 203. Continued focus on listening comprehension, oral skills, reading, writing, and culture at an intermediate level. Credit is not given toward graduation for: GER 104 and GER 204. Prerequisite: Three semesters of college German or equivalent.",Prerequisite: Three semesters of college German or equivalent.,Credit is not given toward graduation for: GER 104 and GER 204.,,,,
GER 205,GER,205,Germany and Europe,3 Hours,"Introduction into major issues in contemporary German society with a special focus on Germany's functioning within Europe and the European Union through novels, films, essays, interviews etc. Course taught in English.",,,"Humanities - Hist & Phil
Cultural Studies - Western",,,
GER 211,GER,211,Conversation and Writing I,3 Hours,"Prerequisite: GER 104 or equivalent, or consent of instructor.","Prerequisite: GER 104 or equivalent, or consent of instructor.",,,,,
GER 212,GER,212,Conversation and Writing II,3 Hours,"Continuation of GER 211. Prerequisite: GER 211 or equivalent, or consent of instructor.","Prerequisite: GER 211 or equivalent, or consent of instructor.",,,,,
GER 250,GER,250,Grimms' Fairy Tales - ACP,3 Hours,"Special attention is paid to the Grimms' tales in terms of traditional narrative genres, elements of life in early modern Europe, and versions from Italy and France as well as Germany. Course is conducted in English. Same as CWL 250 and ENGL 267. Credit is not given for both GER 250 and GER 251. Prerequisite: Completion of the Campus Composition I requirement.",Prerequisite: Completion of the Campus Composition I requirement.,Credit is not given for both GER 250 and GER 251.,,,,
GER 251,GER,251,Grimm's Fairy Tales in Context,3 Hours,"Special attention is paid to the Grimms' tales in terms of traditional narrative genres, elements of life in early modern Europe, and versions from Italy and France as well as Germany. Course is conducted in English. Same as CWL 254 and ENGL 266. Credit is not given for both GER 251 and GER 250.",,Credit is not given for both GER 251 and GER 250.,"Humanities - Lit & Arts
Cultural Studies - Western",,,3.47
GER 260,GER,260,The Holocaust in Context - ACP,3 Hours,Jewish contributions to German Literature from 1200 to the present day. Includes trips to the University Library's Rare Book Room. Same as CWL 271 and ENGL 268. Credit is not given for both GER 260 and GER 261. Prerequisite: Completion of the Campus Composition I general education requirement.,Prerequisite: Completion of the Campus Composition I general education requirement.,Credit is not given for both GER 260 and GER 261.,,,,
GER 261,GER,261,The Holocaust in Context,3 Hours,"Examines cultural representations of the Holocaust in literature, film, and critical essays. Same as CWL 273, ENGL 269, and JS 261. Credit is not given for both GER 261 and GER 260.",,Credit is not given for both GER 261 and GER 260.,"Humanities - Lit & Arts
Cultural Studies - Western",,,3.73
GER 270,GER,270,Sexuality and Literature,3 Hours,"Examination of the historical contexts in which sexuality has been debated during the past three centuries, and to what extent sexuality is perceived differently in diverse cultures. Part one will look at the Western tradition, especially Germany. Part two will shift focus to the non-Western world, especially to the colonial history of Indonesia. Same as CWL 272 and GWS 270.",,,Humanities - Lit & Arts,,,3.65
GER 299,GER,299,Study Abroad,0 to 18 Hours,"Lectures, seminars, and practical work in German language, literature, civilization, and in other academic areas appropriate to the student's course of study. Approved for letter and S/U grading. May be repeated in the same term to a maximum of 18 hours; may be repeated in separate terms to a maximum of 36 hours. Prerequisite: GER 104 or equivalent; 2.75 overall average; 3.0 average in German courses.",Prerequisite: GER 104 or equivalent; 2.75 overall average; 3.0 average in German courses.,,,,,
GER 320,GER,320,German for Business,3 Hours,"Introduces German business language as used in basic operations in retail/wholesale, export/import, banking transactions. Prerequisite: GER 211 or consent of instructor.",Prerequisite: GER 211 or consent of instructor.,,,,,
GER 321,GER,321,German for Economics,3 Hours,"German language as used in professional contexts involving economic matters: texts and documents relating to forms of enterprises and their financing, to macroeconomic structures of domestic and foreign trade, and to reports on the economies of German-speaking countries. Prerequisite: GER 320 or consent of instructor.",Prerequisite: GER 320 or consent of instructor.,,,,,
GER 331,GER,331,Intro to German Literature,3 Hours,"Introductory study of representative works (prose, drama, lyric) by outstanding German, Austrian, and Swiss writers of the modern period. Prerequisite: Two years of college German or equivalent.",Prerequisite: Two years of college German or equivalent.,,,,,
GER 332,GER,332,German Literature and Culture,3 Hours,In German. Seminar in the literature and culture of German-speaking countries since 1750. Topic varies. Format: lecture; discussion; film screenings. Prerequisite: GER 331 or equivalent.,Prerequisite: GER 331 or equivalent.,,,,,
GER 385,GER,385,Politics of the European Union,3 Hours,"Same as EURO 385, FR 385, and PS 385. See PS 385.",,,,,,
GER 396,GER,396,Special Topics German Studies,3 Hours,"Introductory study in such topics as individual authors, selected literary movements or periods, modes of inquiry in literary study, minor genres, subgenres, extraliterary influences, etc. Same as CWL 328. May be repeated to a maximum of 6 hours if topics vary. Prerequisite: Reading fluency in German beyond the fourth-semester college level.",Prerequisite: Reading fluency in German beyond the fourth-semester college level.,,,,,
GER 401,GER,401,Global Issues in German,"3 Hours
3 undergraduate hours. 3 graduate hours.",Introduction to global issues in German media. Taught in German. 3 undergraduate hours. 3 graduate hours. Prerequisite: GER 212 or equivalent.,Prerequisite: GER 212 or equivalent.,,,,,
GER 403,GER,403,German-English Translation: Theory & Practice,"3 Hours
3 undergraduate hours. 3 graduate hours.","Theory and practice of translating technical, commercial, scientific, and literary texts from German into English and vice versa. Same as TRST 403. 3 undergraduate hours. 3 graduate hours. Prerequisite: GER 401 or consent of instructor.",Prerequisite: GER 401 or consent of instructor.,,,,,
GER 405,GER,405,History of Translation,3 or 4 Hours,"Same as CLCV 430, CWL 430, ENGL 486, SLAV 430, SPAN 436, and TRST 431. See SLAV 430.",,,,,,
GER 418,GER,418,Language & Minorities in Europe,3 or 4 Hours,"Same as EURO 418, FR 418, ITAL 418, LING 418, PS 418, SLAV 418, and SPAN 418. See FR 418.",,,,,,
GER 420,GER,420,German Cultural History,"4 Hours
4 undergraduate hours. 4 graduate hours.","A general introduction to German culture from the pre-Christian period to the twenty-first century, focusing on the tension between forces of history and modernization in German culture. Course materials include literary and philosophical texts, film, painting, and music. Particular attention will be paid to the role of art in society. 4 undergraduate hours. 4 graduate hours. Prerequisite: One 200-level German course and GER 331; or consent of instructor.",Prerequisite: One 200-level German course and GER 331; or consent of instructor.,,,,,
GER 455,GER,455,Multilingual Europe,"3 Hours
3 undergraduate hours. No graduate credit.","Exploration of multilingualism in the European context. Focus is on the historical, linguistic, cultural, and sociopolitical aspects of multilingualism across Europe. Topics include language policies and use in multinational institutions, language diversity, educational policies and practices, the role of English, and changing multilingualism in urban environments. 3 undergraduate hours. No graduate credit. Prerequisite: Students who received credit for GER 465 in Spring 2024 may not receive credit for GER 455.",Prerequisite: Students who received credit for GER 465 in Spring 2024 may not receive credit for GER 455.,"No graduate credit.

Prerequisite: Students who received credit for GER 465 in Spring 2024 may not receive credit for GER 455.",,,,
GER 460,GER,460,Principles of Language Testing,3 or 4 Hours,"Same as EIL 460, EPSY 487, FR 460, ITAL 460, PORT 460, and SPAN 460. See EIL 460.",,,,,,
GER 465,GER,465,German Linguistics,"3 Hours
3 undergraduate hours. 3 graduate hours.","Linguistic analysis of Germanic languages in historical, geographic, and social context. Taught in German or English, depending on topic. 3 undergraduate hours. 3 graduate hours. May be repeated in separate terms, as topics vary, to a maximum of 6 hours. Prerequisite: When the course is taught in English, there are no prerequisites. When the course is taught in German, the recommendation is GER 212 or consent of the instructor.","Prerequisite: When the course is taught in English, there are no prerequisites.",,,,,
GER 470,GER,470,Middle Ages to Baroque,"3 Hours
3 undergraduate hours. 3 graduate hours.","Literary, thematic, cultural, and bibliographical analysis of the major authors, works, genres, and movements in German literature from 750-1720. Same as MDVL 470. 3 undergraduate hours. 3 graduate hours. May be repeated in separate terms to a maximum of 6 hours if topics vary.",,,,,,
GER 471,GER,471,Enlightenment to Romanticism,"3 Hours
3 undergraduate hours. 3 graduate hours.","Literary, thematic, cultural, and bibliographical analysis of the major authors, works, genres, and movements in German literature from 1720 to 1830. 3 undergraduate hours. 3 graduate hours. May be repeated to a maximum of 6 undergraduate hours or 6 graduate hours if topic varies.",,,,,,
GER 472,GER,472,Realism to Expressionism,"3 Hours
3 undergraduate hours. 3 graduate hours.","Literary, thematic, cultural, and bibliographical analysis of the major authors, works, genres, and movements in German literature from 1830 to 1920. 3 undergraduate hours. 3 graduate hours. May be repeated to a maximum of 6 undergraduate hours or 6 graduate hours if topic varies.",,,,,,
GER 473,GER,473,1920s to Today,"3 Hours
3 undergraduate hours. 3 graduate hours.","Literary, thematic, cultural, and bibliographical analysis of the major authors, works, genres, and movements in German literature from 1920 to the present. 3 undergraduate hours. 3 graduate hours. May be repeated to a maximum of 6 undergraduate hours or 6 graduate hours if topic varies.",,,,,,
GER 489,GER,489,Theoretical Foundations of SLA,3 or 4 Hours,"Same as FR 481, ITAL 489, LING 489, PORT 489, and SPAN 489. See LING 489.",,,,,,
GER 491,GER,491,Honors Senior Thesis,"1 to 4 Hours
1 to 4 undergraduate hours. No graduate credit.","Intended primarily for candidates for honors in German, but open to other seniors. 1 to 4 undergraduate hours. No graduate credit. May be repeated to a maximum of 4 hours. Prerequisite: Senior standing; consent of instructor.",Prerequisite: Senior standing; consent of instructor.,No graduate credit.,,,,
GER 493,GER,493,German Cinema I,"3 Hours
3 undergraduate hours. 3 graduate hours.",Focus on the rise of German film from its earliest beginnings until 1945. Same as MACS 493. 3 undergraduate hours. 3 graduate hours.,,,,,,
GER 494,GER,494,German Cinema II,"3 Hours
3 undergraduate hours. 3 graduate hours.",Study of German film from 1945 until the present. Same as MACS 494. 3 undergraduate hours. 3 graduate hours.,,,,,,
GER 496,GER,496,Special Topics German Studies,"3 Hours
3 undergraduate hours. 3 graduate hours.","Intensive study of restricted topics in German language, literature, and culture. 3 undergraduate hours. 3 graduate hours. May be repeated as topics vary to a maximum of 9 undergraduate hours or 8 graduate hours. Prerequisite: Three years of college German or equivalent.",Prerequisite: Three years of college German or equivalent.,,,,,
GER 500,GER,500,Readings in German Grads I,4 Hours,Introduction to the reading of German texts in the sciences and the humanities. Credit is not given towards a graduate degree.,,Credit is not given towards a graduate degree.,,,,
GER 501,GER,501,Readings in German Grads II,4 Hours,Designed for graduate students preparing for the German reading requirements for the Ph.D. Credit is not given towards a graduate degree. Prerequisite: GER 500 or equivalent.,Prerequisite: GER 500 or equivalent.,Credit is not given towards a graduate degree.,,,,
GER 510,GER,510,Introduction to Graduate Study,4 Hours,"Bibliography and methodology of the study of the Germanic languages and literatures, with particular regard to German literature and Germanic linguistics; introduction to scholarship in general and the German profession in particular, including the modes and methods of scholarly endeavor.",,,,,,
GER 511,GER,511,Applied Literary Translation I,4 Hours,"Same as CWL 511, EALC 511, SLAV 501, and TRST 501. See TRST 501.",,,,,,
GER 512,GER,512,Applied LiteraryTranslation II,4 Hours,"Same as CWL 512, EALC 512, SLAV 502, and TRST 502. See TRST 502.",,,,,,
GER 515,GER,515,Middle High German,4 Hours,Same as MDVL 515.,,,,,,
GER 520,GER,520,History of the German Language,4 Hours,Internal and external history of German from prehistoric times to the present. Prerequisite: GER 465 or equivalent.,Prerequisite: GER 465 or equivalent.,,,,,
GER 530,GER,530,Old High German,4 Hours,Grammar and interpretation of the oldest literary documents. Same as MDVL 530. Prerequisite: GER 465.,Prerequisite: GER 465.,,,,,
GER 570,GER,570,Modern Critical Theory,4 Hours,"Comprehensive introduction to the foundational thinkers, texts, and schools that orient contemporary work in the humanities, from German Idealism to Cultural Studies, Queer Theory, and Postcolonial Theory, among others. The course is intended primarily for beginning graduate students, but also for those who feel they have not covered the development of critical theory in a systematic way. The course will include significant discussion of figures including: Kant, Hegel, Marx, Nietzsche, Freud, Adorno, Lacan, Derrida, Foucault, Said, Spivak. Among the topics we will address are: history, the subject, aesthetics, value, power, language, ideology, materiality, gender, sexuality, race, and technology/media studies.",,,,,,
