course_code,subject,course_number,course_name,credits,description,prerequisites,credit_restrictions,gen_ed,total_students,total_sections,overall_gpa
IS 100,IS,100,Exploring the iSchool with a Human-Centered Lens,1 Hour,"This course introduces students to the School of Information Sciences (iSchool). Students will explore career and professional development within information sciences, building their leadership and collaborative skills, and building a network within and beyond the iSchool. Through a human centered design project focused on an information science problem, students will gain experience and a better understanding of the process to develop an innovative solution addressing a societal need. Prerequisite: Restricted to Majors Only; First Semester Freshman, Intercollegiate and Off-Campus Transfer Students Only.","Prerequisite: Restricted to Majors Only; First Semester Freshman, Intercollegiate and Off-Campus Transfer Students Only.",,,,,
IS 101,IS,101,Introduction to Information Sciences,3 Hours,"This course provides an introduction to the field of information science and the major. It offers both historical and contemporary context for understanding the role of information in society. Focus is placed upon critical analysis of information problems as well as understanding the creation, use, and distribution of information in business, policy, education, government, health, and other sectors.",,,Social & Beh Sci - Soc Sci,,,
IS 107,IS,107,Data Science Discovery,4 Hours,Same as CS 107 and STAT 107. See STAT 107.,,,Quantitative Reasoning I,,,
IS 142,IS,142,Social History of Games and Gaming,3 Hours,"A survey of the history of gaming from the ancient world through the twentieth century, and its impact on science, society, and culture.",,,,,,
IS 145,IS,145,Mapping Inequalities,3 Hours,"Immerses students in the history of Inequality in the United States through mapping the geographic, historical, and/or social movement of minority cultures using quantitative and social science methods. Topics vary by section, but each section emphasizes experiential learning through community-engaged scholarship, field-trips, or computer programming projects. No previous computer programming experience is required. No previous computer programming experience is required. Prerequisite: This course is intended for first and second year students.",Prerequisite: This course is intended for first and second year students.,,"Quantitative Reasoning II
Social & Beh Sci - Soc Sci
Cultural Studies - US Minority",,,
IS 189,IS,189,Independent Study,0 to 3 Hours,"Individual study in a subject related to information sciences not covered in normal course offerings. Approved for Letter and S/U grading. May be repeated in separate terms to a maximum of 6 hours. Prerequisite: Consent of instructor. Submission of ""Request to Enroll in IS Independent Study"".",Prerequisite: Consent of instructor.,,,,,
IS 199,IS,199,Undergraduate Open Seminar,1 to 5 Hours,Undergraduate Open Seminar. Additional fees may apply. See Class Schedule. May be repeated.,,,,,,
IS 200,IS,200,Professional Skills in Information Science,1 or 2 Hours,"Provides in-depth career exploration and skill development. Focused on connecting students with various speakers and concepts, the topics aim to help students build a strong foundation of essential skills and knowledge in information science. This course will help prepare students for experiential learning courses and internships, and is relevant for undergraduate students at all stages of their academic career. May be repeated (limit of 3 experiential hours count towards IS electives). Prerequisite: For Information Science Majors Only.",Prerequisite: For Information Science Majors Only.,,,,,
IS 202,IS,202,Social Aspects Info Tech,3 Hours,"Explores the way in which information technologies have and are transforming society and how these affect a range of social, political and economic issues from the individual to societal levels. Same as INFO 202 and MACS 202.",,,Social & Beh Sci - Soc Sci,,,
IS 203,IS,203,Analytical Foundations for Information Problems,3 Hours,"A survey of mathematical topics for students in information sciences. Provides an introduction to sets, relations, graphs, grammars, probability, and propositional and predicate logic. These topics relate to applications in information modeling, representation and expression. Prerequisite: MATH 112 or Required ALEKS Score.",Prerequisite: MATH 112 or Required ALEKS Score.,,Quantitative Reasoning II,,,
IS 204,IS,204,Research Design for Information Sciences,3 Hours,"This course provides an introduction to different approaches to research in the information sciences, including social science methods, data and text mining, digital humanities, historical approaches, and others. Topics include methods for evaluating research, developing research questions, selecting research methods, conducting research ethically, and communicating findings clearly and effectively through words, graphics, and other visualizations.",,,,,,
IS 205,IS,205,Programming for Information Problems,3 Hours,Covers common data processing methods and computing concepts used in the information sciences. Evaluates strengths and weaknesses of the techniques in the context of our discipline. No prior programming background is assumed. Course will use the Python programming language.,,,,,,
IS 206,IS,206,Introduction to Database Concepts & Applications,3 Hours,"Introduction to database technology concepts and architecture. Explore data types and reading/writing database layout descriptions. Discussion of database ethics and privacy concerns. Comparison of different database systems a user might encounter including RDBMS, XML/RDF/JSON, NOSQL, and Graph database systems. Labs involving common database tools and exercises in SQL. Prerequisite: Some basic programming experience recommended.",Prerequisite: Some basic programming experience recommended.,,,,,
IS 226,IS,226,Introduction to HCI,3 Hours,"This course introduces students to fundamental theories and techniques in Human-Computer Interaction (HCI). This course presents basic tools and methods for creating, designing, prototyping, and evaluating user interfaces to computing applications and web sites. Students will explore course content by conducting individual and group hands-on projects. Assignments involving prototyping can be implemented by self-selected solutions, e.g. Axure, JavaScript. Students from all backgrounds are welcomed.",,,,,,
IS 229,IS,229,Web Design Fundamentals,3 Hours,"In this course students will learn the principles and methodologies of modern Web design and development, while also becoming familiar with the history of the Web. Students will develop useful practical skills through hands-on engagement with open-source tools, platforms, and resources, while also acquiring a critical understanding of current challenges around such topics as web-standards, security, and accessibility. Students will also become familiar with philosophical models and practical frameworks for creating human-centered systems and will apply such constructively critical understandings in their own web design projects.",,,Quantitative Reasoning I,,,
IS 234,IS,234,Introduction to Risk and Cybersecurity,3 Hours,"Cyber risk, cybersecurity and related concepts create a foundation for exploring the importance of threat awareness, intelligence and identification to personal and organizational security postures. Topics including password hygiene, threat actors, data collection, use and sharing and the CIA Triad, Cyber Kill Chain, Attack Vectors and Attack Surfaces are explored. The role of governments, human behavior, frameworks, standards, systems and compliance requirements all inform security decisions while creating significant career options for those interested.",,,,,,
IS 236,IS,236,User Research & Evaluation,3 Hours,"This course will teach students about user research and evaluation. They will learn to apply various user research methods, gather and understand user requirements and needs for a wide range of user populations, especially those that are under-served (e.g., children, older adults, people with disabilities), conduct user evaluations of prototypes and interactive systems, and communicate effectively about the research insights and make actionable design suggestions. Prerequisite: IS 204, or IS 226, or equivalent course.","Prerequisite: IS 204, or IS 226, or equivalent course.",,,,,
IS 249,IS,249,BSIS Practicum,3 Hours,"A professional field experience program designed to provide the student with the opportunity to work in a professional environment under the supervision of an experienced information professional with the guidance of a faculty advisor. This opportunity allows students to integrate the theory and knowledge of course content with the application of principles and practices in a work environment, including these specific objectives Approved for S/U grading only. Prerequisite: IS 101 or IS 202. Restricted to BSIS students only.",Prerequisite: IS 101 or IS 202.,,,,,
IS 265,IS,265,Innovation Illinois: From Accessible Design to Supercomputing Cultures,3 Hours,Same as CS 265 and MACS 265. See MACS 265.,,,,,,
IS 266,IS,266,Community Innovation,3 Hours,"How do communities contribute to transformative, world-changing innovations? Why is their participation indispensable for fostering change? And what makes change ultimately transformative across diverse spaces and time? Community Innovation explores how engagement with interdisciplinary communities and collaborations, as well as histories of globally-changing local innovations from the Illinois were critical to fostering and sustaining new social and technical practices across space and time. Same as CS 266 and MACS 266.",,,"Social & Beh Sci - Soc Sci
Cultural Studies - Western",,,
IS 269,IS,269,BSIS Internship,0 Hours,Designed to provide students an opportunity to apply the skills and concepts learned in Information Sciences classes to a work environment. Students will complete internships of their choosing under supervision and will be expected to complete activities online including a reflective paper and presentation. The goal of this course is to provide an experience that will form a connection between a student’s academic career and career goals for the future. Approved for S/U grading only. May be repeated. Prerequisite: IS 101 or IS 202. Restricted to BSIS students only.,Prerequisite: IS 101 or IS 202.,,,,,
