course_code,subject,course_number,course_name,credits,description,prerequisites,credit_restrictions,gen_ed,total_students,total_sections,overall_gpa
GEOL 100,GEOL,100,Planet Earth,3 Hours,"[IAI Code: P1907] Introduces non-science majors to physical aspects (earthquakes, volcanoes, floods, tsunamis, mountains, plate tectonics) and historical aspects (formation of earth and life, dinosaurs, ice age, evolution of climate) in earth science. Presents information on earth resources, natural hazards, and development of natural landscapes. Focuses on humanistic issues; provides context for understanding environmental change. Optional lab demonstrations and field trips with co-registration in GEOL 110. Credit is not given toward graduation for: Credit is not given for both GEOL 100 and GEOL 107.",,Credit is not given toward graduation for: Credit is not given for both GEOL 100 and GEOL 107.,Nat Sci & Tech - Phys Sciences,,,
GEOL 104,GEOL,104,Geology of the National Parks,3 Hours,"Develops geologic background, concepts, and principles through study of selected national parks and monuments. Examines the geologic framework and history, modern geologic processes, and factors influencing the present day landscape for each park area. Additional fees may apply. See Class Schedule.",,,Nat Sci & Tech - Phys Sciences,,,
GEOL 107,GEOL,107,Physical Geology,4 Hours,"Introduces Earth phenomena and processes. Includes minerals and rocks, continental drift, plate tectonics, rock deformation, igneous and sedimentary processes, geologic time, landscape evolution, internal structure and composition of the earth, groundwater, seismology and earthquakes, and formation of natural resources. Emphasizes the chemical and physical aspects of the Earth, and the basis for geological inference. Field trip required. Additional fees may apply. See Class Schedule. Credit is not given toward graduation for: Credit is not given for both GEOL 107 and GEOL 100. Prerequisite: Intended for science and science-oriented students.",Prerequisite: Intended for science and science-oriented students.,Credit is not given toward graduation for: Credit is not given for both GEOL 107 and GEOL 100.,Nat Sci & Tech - Phys Sciences,,,
GEOL 110,GEOL,110,Exploring Geology in the Field,1 Hour,"Introduces practical techniques for identification of rocks, minerals, and fossils; interpretation of geologic maps and cross-sections; appreciation of Midwestern geologic history and geologic features and landforms in the field. Additional fees may apply. See Class Schedule.",,,,,,
GEOL 111,GEOL,111,Emergence of Life,3 Hours,"Examines important theoretical and practical questions regarding the origin and evolution of life, as well as the search for life elsewhere in the universe. Uses the pioneering work of Carl Woese, whose ""Tree of Life"" revolutionized our understanding of the fundamental structure and evolutionary relatedness of all living entities on Earth. Same as ESE 111. Additional fees may apply. See Class Schedule.",,,Nat Sci & Tech - Life Sciences,,,
GEOL 115,GEOL,115,Hollywood Rocks: Earth Science in the Movies,3 Hours,"Explores the dynamic intersection of science and cinema by evaluating depictions of the Earth sciences in Hollywood movies. Examines the scientific accuracy behind the on-screen depictions of natural hazards and evaluates the underlying processes that control their formation and dangers they represent. Provides practical insights on hazard preparedness and safety. Topics include Earthquakes, Volcanic Eruptions, Severe Weather, Asteroid Impacts, Space Travel, and Climate Change.",,,Nat Sci & Tech - Phys Sciences,,,
GEOL 117,GEOL,117,The Oceans,3 Hours,"Integrated introduction to oceanography and marine geology and geophysics. Topics include ocean-basin formation and evolution (in the context of plate tectonics), ocean ecology, the hydrologic cycle, water chemistry, currents and waves, the interaction of oceans with climate, coastal hazards, resources, pollution, and the Law of the Sea. Course is oriented toward students not majoring in science. Same as ESE 117.",,,Nat Sci & Tech - Phys Sciences,,,
GEOL 118,GEOL,118,Natural Disasters,3 Hours,"Introduces the nature, causes, risks, effects, and prediction of natural disasters including earthquakes, volcanoes, landslides, subsidence, global climate change, severe weather, coastal erosion, floods, mass extinctions, and meteorite impacts; covers scientific principles and case histories of natural disasters as well as human responses (societal impact, mitigation strategies, and public policy). Same as ESE 118 and GLBL 118.",,,Nat Sci & Tech - Phys Sciences,,,
GEOL 143,GEOL,143,History of Life,3 Hours,"Evolution of life from its beginning, illustrating changing faunas and floras through time; the invasion of land and of the skies; the effects of a changing atmosphere, changing climates, and continental drift. Emphasis on dinosaur evolution, ecology, and extinction; also other vertebrates, including mammal-like reptiles, mammals, and the emergence of humans, as well as plants and invertebrates. Same as ESE 143.",,,Nat Sci & Tech - Life Sciences,,,
GEOL 199,GEOL,199,Undergraduate Open Seminar,1 to 5 Hours,May be repeated.,,,,,,
GEOL 201,GEOL,201,History of Geology,3 Hours,"Traces the development of key ideas in the science, beginning with musings of the ancient Greek and Roman philosophers and early observations of the Earth by European and Arab scholars. Considers advances in mapmaking that span thousands of years and examines the origins of the Geologic Time Scale, including determination of the ages of rocks. Looks at early geologists from around the world, in the US, in Illinois, and at the U of I. Reads some classic papers establishing the grand unifying theory of geology: plate tectonics. Prerequisite: A 100-level geology course (excluding GEOL 110 and GEOL 143). Intended for both non-science students and geology majors.",Prerequisite: A 100-level geology course (excluding GEOL 110 and GEOL 143).,,"Advanced Composition
Humanities - Hist & Phil",,,
GEOL 208,GEOL,208,History of the Earth System,4 Hours,"Presents systematic analysis of formation and evolution of the Earth and its dynamic systems (lithosphere, hydrosphere, atmosphere, and biosphere). Also introduces methods of reconstructing Earth's history through use of geochronology, paleontology, and the stratigraphic records. Introduces the geological history of life evolution, mountain belts and continents, geochemical systems, climate, sea level, and the Earth's interior. Field trip required. Same as ESE 208. Additional fees may apply. See Class Schedule. Prerequisite: One of GEOL 100, GEOL 104 or GEOL 107; or consent of instructor.","Prerequisite: One of GEOL 100, GEOL 104 or GEOL 107; or consent of instructor.",,Nat Sci & Tech - Phys Sciences,,,
GEOL 220,GEOL,220,"Leadership and Sustainability: People, Water, and the Colorado River",3 Hours,"Examines the relationship between people and the Colorado River, and how city, state, tribal, and federal leaders work to manage this important resource. Explores how the River came to be, how it has been used (and misused) throughout the human history of the desert Southwest, and how leaders are preparing for its future in the midst of a warming planet. Capstone is a required field trip to the region, with visits to key sites. Additional fees may apply. See Class Schedule. May be repeated in separate terms, if topics vary. Prerequisite: Restricted to LAS James Scholars students.",Prerequisite: Restricted to LAS James Scholars students.,,,,,
GEOL 333,GEOL,333,Earth Materials and the Env,4 Hours,"Studies the origin, identification, and environmental significance of earth materials (minerals, rocks, and soil). Environmental topics include: mineral resources; acid mine drainage; volcanic hazards; swelling soils; engineering strength, porosity/permeability, and architectural uses of earth materials; and asbestos. One day field trip is required. Same as ESE 333. Additional fees may apply. See Class Schedule. Credit is not given toward graduation for: Credit is not given for both GEOL 333 and GEOL 432. Prerequisite: CHEM 102 and CHEM 103; GEOL 100 and GEOL 110, or one of GEOL 104 or GEOL 107; or consent of instructor.","Prerequisite: CHEM 102 and CHEM 103; GEOL 100 and GEOL 110, or one of GEOL 104 or GEOL 107; or consent of instructor.",Credit is not given toward graduation for: Credit is not given for both GEOL 333 and GEOL 432.,,,,
GEOL 350,GEOL,350,Volcanoes,3 Hours,"Explores volcanoes from a hazards standpoint by investigating case studies of volcanic disaster, evaluating important controls of volcanism such as magma viscosity and behavior of bubbles, and introducing the monitoring of active volcanoes with cutting edge methods such as seismicity, gravity, and remote sensing. Understanding the interactions among these complex parameters plays a critical role in assessing the evolution of shallow magma systems and investigating their potential for remaining stable or developing into hazardous eruptive systems, which can threaten nearby populations. Prerequisite: Any 100-level Geology course (excluding GEOL 111 and GEOL 143).",Prerequisite: Any 100-level Geology course (excluding GEOL 111 and GEOL 143).,,,,,
GEOL 370,GEOL,370,"Water Planet, Water Crisis",3 Hours,Same as ESE 320 and GGIS 370. See ESE 320.,,,,,,
GEOL 380,GEOL,380,Environmental Geology,4 Hours,"Increases student understanding of environmental issues of water supply and pollution, waste disposal, energy, environmental health, global change, and land evaluation and use by emphasizing the role of geology and its relationships to human activities. Course requires a one-day field trip. Same as ENVS 380. Additional fees may apply. See Class Schedule. Credit is not given toward graduation for: Credit is not given for both GEOL 380 and ESE 445. Prerequisite: CHEM 102 and CHEM 103; and GEOL 100 and GEOL 110, or one of GEOL 104 or GEOL 107; or consent of instructor.","Prerequisite: CHEM 102 and CHEM 103; and GEOL 100 and GEOL 110, or one of GEOL 104 or GEOL 107; or consent of instructor.",Credit is not given toward graduation for: Credit is not given for both GEOL 380 and ESE 445.,,,,
GEOL 390,GEOL,390,Individual Study,1 to 4 Hours,Research and individual study in geology. May be repeated. A maximum of 8 hours of GEOL 390 plus GEOL 391 may be counted toward graduation. Prerequisite: GEOL 208 or equivalent; consent of supervising faculty member; advance approval by Department of Geology.,Prerequisite: GEOL 208 or equivalent; consent of supervising faculty member; advance approval by Department of Geology.,,,,,
GEOL 391,GEOL,391,Individual Honors Study,1 to 4 Hours,Research and individual study in geology for honors credit. May be repeated. A maximum of 8 hours of GEOL 390 plus GEOL 391 may be counted toward graduation. Prerequisite: GEOL 208 or equivalent; consent of supervising faculty member and of departmental honors advisor; advance approval by Department of Geology.,Prerequisite: GEOL 208 or equivalent; consent of supervising faculty member and of departmental honors advisor; advance approval by Department of Geology.,,,,,
GEOL 401,GEOL,401,Geomorphology,"4 Hours
4 undergraduate hours. 4 graduate hours.","History, origin, and characteristics of land forms produced by weathering, fluvial, glacial, wind, and wave processes or by a combination of these acting upon the major kinds of geologic materials and structures. Lectures, laboratory, and field trips. Same as ESE 411. Additional fees may apply. See Class Schedule. 4 undergraduate hours. 4 graduate hours. Prerequisite: GEOL 208 or consent of instructor.",Prerequisite: GEOL 208 or consent of instructor.,,,,,
GEOL 406,GEOL,406,Fluvial Geomorphology,4 Hours,Same as GGIS 406 and NRES 406. See GGIS 406.,,,,,,
GEOL 407,GEOL,407,CyberGIS & Geospatial Data Science,4 Hours,Same as GGIS 407. See GGIS 407.,,,,,,
