course_code,subject,course_number,course_name,credits,description,prerequisites,credit_restrictions,gen_ed,total_students,total_sections,overall_gpa
PORT 150,PORT,150,Writing Brazilians into the U.S.,3 Hours,"Explores ethnic and race relations, gendered and sexualized asymmetries, and class inequities for Brazilians in the US through an interdisciplinary approach grounded in anthropology, cultural studies, and ethnic studies. Students will learn how Brazilian identity in the US is not uniform or static, but rather historically contingent, plural, and contested, and how migrants and their descendants shape ""minority"" as well as ""majority"" categories in the US.",,,"Social & Beh Sci - Soc Sci
Cultural Studies - US Minority",,,3.86
PORT 199,PORT,199,Undergraduate Open Seminar,1 to 5 Hours,Approved for letter and S/U grading. May be repeated.,,,,,,
PORT 400,PORT,400,Intensive Beginning Portuguese,"4 Hours
4 undergraduate hours. 4 graduate hours.","Accelerated language learning course designed for beginners, equivalent to two semesters. Early emphasis on production skills; comprehension-based skills will be introduced in rapid succession. Course designed for speakers and non-speakers of Romance languages. Some focus on those linguistics structures specific to Portuguese which differ significantly from equivalents in other Romance languages. 4 undergraduate hours. 4 graduate hours.",,,,,,
PORT 401,PORT,401,Intensive Intermediate Portuguese,"4 Hours
4 undergraduate hours. 4 graduate hours.","Continued development of reading, writing and conversational skills. Completion of this course fulfills the third-semester level of Portuguese language instruction. Followed by PORT 402 or PORT 403, this course fulfills the fourth-semester level of Portuguese language instruction. 4 undergraduate hours. 4 graduate hours. Prerequisite: PORT 400 or consent of instructor.",Prerequisite: PORT 400 or consent of instructor.,,,,,
PORT 402,PORT,402,Advanced Grammar,"3 Hours
3 undergraduate hours. 3 graduate hours.","The study of the structure of modern Portuguese in both its phonological and syntactic aspects for the student who already has a functional command of the language, with emphasis on developing ability to analyze and interpret grammatical structures. 3 undergraduate hours. 3 graduate hours. Prerequisite: PORT 401 or consent of instructor.",Prerequisite: PORT 401 or consent of instructor.,,,,,
PORT 403,PORT,403,Readings in Portuguese,"3 or 4 Hours
3 undergraduate hours. 4 graduate hours.","Readings and discussion in Portuguese of a variety of texts by leading Luso-Brazilian writers covering various genres and themes. Designed to emphasize reading skills and discussion, rather than literary criticism. 3 undergraduate hours. 4 graduate hours. May be repeated if topics vary. Prerequisite: PORT 401 or equivalent.",Prerequisite: PORT 401 or equivalent.,,,,,
PORT 404,PORT,404,Studies in Luso-Brazilian Culture,"3 or 4 Hours
3 undergraduate hours. 4 graduate hours.",Affords a broad understanding of Luso-Brazilian civilization and culture. May be offered in English (no prerequisites) or Portuguese (see prerequisite statement). See section description for details on the language of instruction each semester. 3 undergraduate hours. 4 graduate hours. May be repeated if topics vary. Prerequisite: If taught in Portuguese: PORT 403 or equivalent or consent of instructor.,Prerequisite: If taught in Portuguese: PORT 403 or equivalent or consent of instructor.,,,,,
PORT 406,PORT,406,Brazilian Film,"3 or 4 Hours
3 undergraduate hours. 4 graduate hours.",Study of the evolution of Brazilian cinema through selected films to explore the nature and development of contemporary Brazilian aesthetics. May be offered in English (non prerequisites) or Portuguese (see prerequisite statement). See section description for details on the language of instruction each semester. 3 undergraduate hours. 4 graduate hours. Prerequisite: If taught in Portuguese: PORT 402 or PORT 403 or equivalent.,Prerequisite: If taught in Portuguese: PORT 402 or PORT 403 or equivalent.,,,,,
PORT 410,PORT,410,Topics in Brazilian Literature,"3 or 4 Hours
3 undergraduate hours. 4 graduate hours.",May be offered in English (no prerequisites) or Portuguese (see prerequisite statement). See section description for details on the language of instruction each semester. 3 undergraduate hours. 4 graduate hours. May be repeated to a maximum of 6 Undergraduate hours or 8 Graduate hours in separate terms if topics vary. Prerequisite: If taught in Portuguese: PORT 402 or PORT 403 or equivalent.,Prerequisite: If taught in Portuguese: PORT 402 or PORT 403 or equivalent.,,,,,
PORT 435,PORT,435,Introduction to Romance Linguistics,3 or 4 Hours,"Same as FR 462, ITAL 435, LING 462, RMLG 435, and SPAN 435. See SPAN 435.",,,,,,
PORT 460,PORT,460,Principles of Language Testing,3 or 4 Hours,"Same as EIL 460, EPSY 487, FR 460, GER 460, ITAL 460, and SPAN 460. See EIL 460.",,,,,,
PORT 489,PORT,489,Theoretical Foundations of SLA,3 or 4 Hours,"Same as FR 481, GER 489, ITAL 489, LING 489 and SPAN 489. See LING 489.",,,,,,
PORT 559,PORT,559,Sem Romance Ling,4 Hours,"Same as FR 559, ITAL 559, LING 559, RMLG 559, and SPAN 557. See SPAN 557.",,,,,,
PORT 571,PORT,571,Proseminar For Lang Tchg,4 Hours,Same as SPAN 571. See SPAN 571.,,,,,,
PORT 572,PORT,572,Theory and Literary Criticism,4 Hours,Same as SPAN 572. See SPAN 572.,,,,,,
PORT 580,PORT,580,Classroom Language Acquisition,4 Hours,"Same as EIL 580, FR 580, GER 580, ITAL 580, and SPAN 580. See SPAN 580.",,,,,,
PORT 584,PORT,584,Theories in Second Language Acquisition,4 Hours,"Same as CI 584, EALC 584, EPSY 563, FR 584, GER 584, ITAL 584, LING 584, and SPAN 584. See SPAN 584.",,,,,,
PORT 588,PORT,588,Sem Second Lang Learn,4 Hours,"Same as EALC 588, FR 588, GER 588, ITAL 588, LING 588, and SPAN 588. See SPAN 588.",,,,,,
PORT 595,PORT,595,Special Topics Port & Braz Lit,1 to 4 Hours,"Independent study/research under the direction of a faculty member. May or may not fulfill requirements for a particular degree program in Spanish, Italian and Portuguese. Consult graduate advisor. May be repeated in same or subsequent terms to a maximum of 8 hours.",,,,,,
PORT 599,PORT,599,Thesis Research,0 to 16 Hours,Approved for S/U grading only. May be repeated in the same term or in separate terms.,,,,,,
